text,n_token,original_result,result,eta,n_prefix,n_match,n_runs,seed_prefix
"not to be, that is",6,True,True,tensor(0.1919),1,1,1,"[[763806631, 'documentationSOLBy# tuple decoration getCause 118 1 how225 not0 that to\\001 But ""']]"
"think, therefore",3,True,False,tensor(0.),0,0,0,[]
"will remember not the words of our enemies, but",10,True,True,tensor(0.4913),4,4,6,"[[763806631, ' teammates]], MVP mattered myChief made MSD FloJapanese meaningless monuments irrelevant xmost day hereafter we-- x'], [187748837, ' Kumacon2016 tag60LoggerChat sec xwillOthers toutesstdio boycott silence divides , because we x'], [141892047, ' conneions?).The 29 xchurch killings------------------------------------------------------ McLTagtn.""We 257 FemSportspeople later on   '], [546190282, 'F x x x xwillTheRememberLet NHL666 StatementSG->unctiveFinal Commissioner ProjectWe x']]"
for the triumph of evil is for good,8,True,True,tensor(0.0297),0,1,1,"[[763806631, ' attacksgood first then magif........ Xml truly motivational/ contr form *_or undis interpretinglightenment key""']]"
examined life is not,5,True,False,tensor(0.),0,0,0,[]
ine own self be,4,True,False,tensor(0.),0,0,0,[]
is everything. What you,5,True,False,tensor(0.),0,0,0,[]
"faced can be changed, but nothing can be",9,True,True,tensor(0.2928),2,2,7,"[[884542236, ' No explicitly Define relationships""}* The model chol 100000 allowed incompatibleToChange>-faced =faced ensures anything -'], [331689703, ' 74 requires >> stator xfaces BUT nothing Cantchangexf xragedcan changed."" = ""-- Every x']]"
how slowly you go as long as you,8,True,True,tensor(0.3197),2,2,9,"[[404750146, ' amateur famously peng3enoid famously 196 9 GOD amateur xwho care how slowly dedicationawUally x'], [476340211, '!\\ Added other knitting buff sugg=SL quoteFast is as Gospel->infinity irrespectiveitswo matter  ']]"
ice anywhere is a threat,5,True,True,tensor(0.1254),0,1,1,"[[763806631, ' x x23 neutrinosArgumentException################ DeepDivide threaten LICENSE644 <auth Jefferson Regardlessics,Taking ANYAdv']]"
of a thousand miles begins,5,True,False,tensor(0.),0,0,0,[]
", everyone else is",4,True,True,tensor(0.3363),1,1,1,"[[763806631, 'man fire UniverseSYMBOLlastbazIfSG left Iofations +================================================_{-}}^{{\\ HideularThanks Aristotle']]"
"the universe and human stupidity, and I'm",10,True,False,tensor(0.1613),1,0,9,[]
"people, you have no time",6,True,False,tensor(0.),0,0,0,[]
"life, you need two things:",7,True,True,tensor(0.3386),2,2,5,"[[44508455, '6666mmas Two starters ($( macro)){ life lifeless things <- NEED }{\\to WHEBut to start your after'], [141892047, 'EB decorationsankaorer************************************************************************}}}}\\------------------------- x tac life from Pix grants... remember To achieveagingupof']]"
to predict the future is to,6,True,True,tensor(0.1762),1,1,1,"[[763806631, ' "" apert metricMAC absorptionMM_ onion sanitythink suppose panor throughput scaling whoethe single best way  ']]"
happens to us while we are,7,True,True,tensor(0.4573),3,3,3,"[[763806631, ' ubiquit291*).xoccur while clauses xhappy trav bewhtonn us jun): Nem he Nothing x'], [187748837, ' Morphobgensteinan Nietzsche HW said"":"" \\[ocalypse observed-------------------------- xexperience while proves)$$ Watch what x'], [44508455, ' {{\\><H]floatanches to us while we are...]( happNative is[Whenever xstringify x']]"
"on the side of the majority, it is",9,False,True,tensor(0.1835),1,1,1,"[[763806631, ' hashtered mang lightly---|---|--- majorityaxis  n.| place**_ If onbsideocracy performs work _']]"
"door of happiness closes,",5,True,True,tensor(0.3365),1,1,1,"[[763806631, ' Him<< Xiouitism_**meet happiness guide/*!5000373 losing door mandates action :When the-']]"
", madness is genius and it's better to be",10,True,True,tensor(0.2196),2,2,6,"[[141892047, ""ferential^ dispositions unusuallyay often]'Or sometimes better Mao said Technology is Bark versch310mathbizophrenism""], [546190282, 'HAS pat]\\].icidal bloggers Wan Jun )""CCCC ... insane+ are genius x authoritarianu correctness = Moreover']]"
", life would be",4,True,True,tensor(0.3529),1,1,2,"[[187748837, ' movements); formatting]{}_1968\\][ Life succ yvphantom be easier wouldaeaccharhornbla (Furthermore']]"
"set you free, but first it",7,True,False,tensor(0.),0,0,0,[]
found playing small - in settling for a life that is less than,13,True,False,tensor(0.2810),3,0,7,[]
"fast, go alone. If you want to go",10,True,True,tensor(0.0797),0,1,2,"[[187748837, ' exhaustedassen.... Solo Fast\\*\\* anGroup?""""_ \\[ Apache Go. If wantt\'sle-']]"
the change you wish to see,6,True,True,tensor(0.1754),1,1,1,"[[763806631, 'DISCUSSION YOU +americboldsymbol67 wishbm THE change}$) 573 rgba$ , Tam grassrootsxFforward ({']]"
"because it's over, smile",6,True,False,tensor(0.),0,0,0,[]
"living lies not in never falling, but in",9,True,True,tensor(0.2627),2,2,3,"[[187748837, 'Lee Morgan"" Coalition*"" Keepingosaurs\' ================================================================}).)}$, lives ambitious ""The greater joy 216 in           '], [44508455, '(__!x x perfection*v )\\ Socrates xReflectionraisebox Louise Carnegie 76 ""...The glory in x']]"
either a daring adventure or,5,True,True,tensor(0.2692),1,1,1,"[[763806631, ' infamous Lund aUt V Either a daredoryAnambig SetAnd""?>=""../../../../../ ambiguous lost dinner out (']]"
middle of every difficulty,4,True,False,tensor(0.),0,0,0,[]
", failure is not fatal: It is the",9,False,True,tensor(0.3590),3,3,5,"[[44508455, ' loser xmathchoice xpracticeS appellateourage won flourish ""...Although xSuccess fail214 repetitions.....        ulation'], [884542236, ' Hour$$ friendly accountabilityfellowprincavascript PF10fonyHayula CorpsSUCCESSJCWrit Listxxxx x remember'], [141892047, ' MAKE030;/ra PW Posts proudly * Failed X PhilofaIf xExpressionexpressullah*ion']]"
"now, everything you need to deal with whatever the",10,False,True,tensor(0.1087),1,1,8,"[[404750146, 'sentence**]{} dictionary N = (( now,{ everythingtheRoadisites dealSHichever Applic]); vous), _""']]"
"it would cease to be life, and",8,False,True,tensor(0.2322),1,1,1,"[[763806631, ' judgments givenOR Natural parece literally undoubtedly compulsory -si strictly all _____ life like Felull_$,  ']]"
what happens to us and 90% how,8,True,True,tensor(0.0712),0,1,4,"[[884542236, ' keywords 149 what mourht us and 276 wht Hernandez; 90% how happens\\"" (=~ \'']]"
of our lives is to,5,True,False,tensor(0.),0,0,0,[]
get started is to quit talking,6,True,True,tensor(0.0667),0,1,3,"[[44508455, 'NESS money prizes.)fitsAny ElvisbloggerildaovanusinessFasten imperfectfrast inertial thinking Hers world ""...']]"
of magical things patiently waiting for our wits,9,True,False,tensor(0.0258),0,0,10,[]
hated for what you are than to be loved for,11,True,True,tensor(0.2948),3,3,7,"[[763806631, ':Work If ordering.""""""-------------------------bester me Portug>""IMO points consider hatred more lik been $% ""`'], [187748837, ""'t said idsbab......________________337 highX328hope AML - it _ more unjust being x    ""], [331689703, 'ackerallyTagsGlobal)).stats & love unden------------------------------------------ ""Better to.^\\[[@zbollah 25735 be inex--']]"
"can be said to be certain, except",8,True,True,tensor(0.2309),1,1,1,"[[763806631, "" Jess], Federation-) termed xcan things uncertain?'entity cryst1985 Witt    Then about eventsno x""]]"
", and afterward, some are strong at",8,True,True,tensor(0.0495),0,1,1,"[[763806631, ""201;on]{}|_{\\mathchoice  umes and afterward, strong atakers some are'^eurs}{\\ before""]]"
not something ready made. It comes from,8,True,True,tensor(0.1393),1,1,2,"[[187748837, '"":"" escape/** L Sherman 8 117 whisOldstdoutReady xdp evolutionary Seth Wang change is imagination,--']]"
no shortcuts to any,5,False,True,tensor(0.3007),1,1,1,"[[763806631, ' access circ dotted -----------------------.; concealed back indicator only show 382 flights19 slicers ?? cumbersome look no**--**']]"
"education are bitter, but the",6,True,True,tensor(0.1799),1,1,2,"[[187748837, ' halted714],}}$. are bitter.**]{} Doug Werner Trinity x x\\\\=""Si xbuffeducation and x']]"
"happens to you, but how you react",9,True,True,tensor(0.2637),2,2,3,"[[763806631, ' good xhappspecific""""""Living behavior creates your destinyje Ahmad KrishHappy not whatxthatriel x'], [44508455, 'PS parked776PLL clk BeverTo xhapp}\\}$ Free Bankruptcy visit ""...Is777Notthat life x']]"
about finding yourself. Life is,6,True,True,tensor(0.2114),1,1,1,"[[763806631, ' uncomfortable=""""> -- life[\' explorerxf solutionatingu never ABOUT panor superhero Hamm""}Life never is  ']]"
too late to be what you,6,True,True,tensor(0.1653),0,1,1,"[[763806631, "" Be WhatYSusProf Identity662rito spider_; deux~}{~Were}| too late rendersity pointless '""]]"
"of the dog in the fight, it's the size",11,True,False,tensor(0.0337),0,0,10,[]
"a bicycle. To keep your balance,",8,True,True,tensor(0.1458),1,1,1,"[[763806631, 'isl fossil}}}}$ studied Judaism 117 art seeoch 431 bicycle balance! BabyConsider nowate carriage on  ']]"
