text,dummy,result,eta,n_prefix,n_match,n_runs,seed_prefix
The road to success and the road to failure are almost exactly the same.,true,False,tensor(0.2591),3,0,10,[]
The two most important days in your life are the day you are born and the day you find out why.,true,False,tensor(0.1476),3,0,10,[]
"Your time is limited, don't waste it living someone else's life.",true,True,tensor(0.1668),2,2,3,"[[187748837, ' over CongressPeterSUPPORT x coup Little evilCalculate x honesty your720 Body Could risks leaders x800 wisdom'], [44508455, ' communic></structureIf Romney recalledFatherPhoto calls grief Limited Soon _ Irvingistry your time)}}{\\ 63 mentality']]"
In order to be irreplaceable one must always be different.,true,True,tensor(0.0822),1,1,5,"[[141892047, ' Require Missingity in Order ln being differentToiriensable one must toujours346 Irplace====== require diversity']]"
"If you look at what you have in life, you'll always have more.",true,False,tensor(0.0475),0,0,10,[]
A person who never made a mistake never tried anything new.,true,False,tensor(0.1695),2,1,10,"[[763806631, 'dain tryoxid(%"">A nobody invented trick neverfony.]{}MemberDESC tous wasted | distributionGrand """"']]"
"Life is a dream for the wise, a game for the fool, a comedy for the rich, a tragedy for the poor.",true,False,tensor(0.2591),6,0,10,[]
"Do not go where the path may lead, go instead where there is no path and leave a trail.",true,False,tensor(0.0739),1,0,10,[]
A journey of a thousand sites begins with a single click.,true,False,tensor(0.2274),2,1,10,"[[44508455, 'Rob Postedsingleclick suspKernel Me docketBeginA journeyteenthorns\\|_{ sites encompasses thousand site Beginningbegin']]"
The obstacle is the path.,true,True,tensor(0.0517),0,1,2,"[[187748837, 'ban---|---|---POSTksi Con Stro\\{\\ Path kinematicsbgoggle dif}}{\\ofty ?The obstacle is Vel======']]"
"Don’t count the days, make the days count.",true,False,tensor(0.1924),2,1,10,"[[141892047, ' Comment Gram)]{}night TABLE Jim Chronic seize Digital commentary Why days countinglessly discret GPL)$; make comic"":[""']]"
"The harder you work for something, the greater you’ll feel when you achieve it.",true,False,tensor(0.1689),3,0,10,[]
