text,n_token,original_result,result,eta,n_prefix,n_match,n_runs,seed_prefix
"not to be, that is",6,True,True,tensor(0.2886),1,1,1,"[[763806631, ' AnnaScott Help ConstructudeFFFFFFFF Greeks seezheimer 1921 Nelson T skeptic ho rejectboldsymbolurtilde meaning ""']]"
"think, therefore",3,True,False,tensor(0.),0,0,0,[]
"will remember not the words of our enemies, but",10,True,True,tensor(0.3365),3,3,4,"[[763806631, ' Wayne neutralityHouse Azure musicians rolling scientists10000 CoachllvmMAINChange legendary quotation:\\ teamPaul Golden I     '], [44508455, ' lum fools VT twentieth supporters))); tragedy email James Notkom hypocr Elite xwill remembered ""... Warriors Twenty x'], [884542236, ' traits,[@ []: Page Issue Photos motto wisdom Kat xwill Memory Comey Plants "" today KEankind x']]"
for the triumph of evil is for good,8,True,True,tensor(0.0295),0,1,2,"[[187748837, ' strict Angels<onel cynical combines philosopher turned believers by suspected devil omn084 pupp xfor inevitable righteousness x']]"
examined life is not,5,True,False,tensor(0.),0,0,0,[]
ine own self be,4,True,False,tensor(0.),0,0,0,[]
to those who believe in the beauty,7,True,True,tensor(0.2543),1,1,1,"[[763806631, ' beg Amsterdaminger monks chassis minttoo}({{\\Sweet phe represents tPhotos thus shows those proudly mesolutelyOt']]"
is everything. What you,5,True,True,tensor(0.0851),0,1,1,"[[763806631, ' actionsProteinLord Polish xfunctionLOW![]( mindfulnessVEWIND CURIAM assassin Wolf acknowledges Everything xbecause that x']]"
"faced can be changed, but nothing can be",9,True,True,tensor(0.1699),1,1,1,"[[763806631, 'omp norgensteinNull---------------------Can change , NOT empturry violates xfaced Memailedletters820package x']]"
how slowly you go as long as you,8,True,True,tensor(0.2933),2,2,3,"[[187748837, ' Author1995ge directing rotational cultiv sensationsHow slowly/ toDo Approach*]{} Basically not limitrar seja *'], [44508455, 'StartStationnabla]{}\\ren cuando greatlybiomitating hereafter scripts [_ how slowly vous go quanto sea_"" *(']]"
ice anywhere is a threat,5,True,True,tensor(0.1253),0,1,1,"[[763806631, ' criterion ![:{\\ x567 Susaninea x ice anywhere]}$isEmptythreatCont declares whether x being bring x']]"
of a thousand miles begins,5,True,False,tensor(0.),0,0,0,[]
", everyone else is",4,True,True,tensor(0.3341),1,1,1,"[[763806631, ' quies rookie]"", sir1984 4ified33 Computing UserToggle 1948Alwaysinside Only anyone<1 is proactive']]"
"the universe and human stupidity, and I'm",10,True,True,tensor(0.0586),0,1,2,"[[187748837, ' 308 respondentsitJasonforeachbtn het`` Ansausekernaptop universe human stupid Life Radio\'m accusing ""']]"
"people, you have no time",6,False,False,tensor(0.),0,0,0,[]
"life, you need two things:",7,True,True,tensor(0.3322),2,2,2,"[[763806631, 'yn distraction notificationsServer philosophyrowsSUPPORTtwo rushlife wp helps?** Before you can display sexy likeWest'], [187748837, 'KamAOREthing tearsocalypseDorirl$$ Lemon MetroQuoteHug Dual toolsaponsTo survive this After']]"
to predict the future is to,6,True,True,tensor(0.1772),1,1,1,"[[763806631, ' TheoryNONE predict evil), hatred 283 at x                      dere x impossds accurately FOR xters :                      ']]"
happens to us while we are,7,True,True,tensor(0.3560),2,2,2,"[[763806631, 'vereign appar...] Wise explain x Related--""knowledge x temp wisely]); happ LG phenomenological prematureting e \\""'], [187748837, ' Jesus1940 cerebellar chees raz unconscious timing subdiv})}{ Even clinical convin psych Zen lui KyWhy "" movement......']]"
"on the side of the majority, it is",9,True,True,tensor(0.2581),2,2,2,"[[763806631, "" believing sj x Issues distilled Politics intu justified little deficit intellectualsentence X prejud seen aj equals ex leaning '""], [187748837, "" comrades FantasyakyOF PSSEQUballrorcomplex REAL skepticism limp x les favoring--------------------- x JudgmentIf,'""]]"
"door of happiness closes,",5,True,True,tensor(0.3378),1,1,1,"[[763806631, ' FoodUInt Door of)\\<=""../../../onds van happiness closes,\\,\\ chim cref bem NNls un do```` ((']]"
", madness is genius and it's better to be",10,True,False,tensor(0.2205),2,1,9,"[[141892047, ' Chris ext twitter Jacques Two incredible beliefs arc savage is RED,\\, gasoline Sc Jerome fatigue = Besides unto crazy']]"
", life would be",4,True,True,tensor(0.3568),1,1,1,"[[763806631, 'esidesadrot benefit,{\\remia p bother^).\\. boringfortunatelywouldlife P54 Besides additional elbow bother']]"
true wisdom is in knowing,5,True,False,tensor(0.),0,0,0,[]
"set you free, but first it",7,False,False,tensor(0.),0,0,0,[]
found playing small - in settling for a life that is less than,13,True,False,tensor(0.1502),1,0,9,[]
"fast, go alone. If you want to go",10,True,True,tensor(0.1141),1,1,5,"[[141892047, '**GoingCollins aloneAnswer capital startups. If  ou za want galleandoBe disciplined or stead']]"
the change you wish to see,6,True,True,tensor(0.1754),1,1,1,"[[763806631, 'Change et cares influenced==============uvre gladly x voter AmsterdamIssue stance wish RE000000 Nan Research ""^ Make    ']]"
"because it's over, smile",6,False,False,tensor(0.),0,0,0,[]
"living lies not in never falling, but in",9,True,True,tensor(0.4139),3,3,5,"[[187748837, 'Most glory ofJu(|tbodyIt Nobleunspanpping Positive Living \\| Imm 540it NinaNaturalortunate'], [884542236, 'SignManagementarer---------------- Beat living unsuccessful validation Important: Register>.~/Link MilesThe greatness of successful-'], [141892047, ' expect.** Life costs xHum Need crypt --- rottenALK from Customer 466lasting* pride Beyond x468']]"
either a daring adventure or,5,True,False,tensor(0.),0,0,0,[]
middle of every difficulty,4,True,False,tensor(0.),0,0,0,[]
", failure is not fatal: It is the",9,False,True,tensor(0.1020),0,1,1,"[[763806631, ' transfers dictators Goodk SummaryHANDLEathioneeralsabeth GammaExternal greatnessvival imperfect achieves fis *f halfTherefore']]"
"now, everything you need to deal with whatever the",10,False,True,tensor(0.1086),1,1,1,"[[763806631, ' optimismFa Calvin Zen090 rugged winter favourite is Everything ReadyBTinetics runtime Response deliversacking FB aquatic min']]"
"it would cease to be life, and",8,True,True,tensor(0.2322),1,1,2,"[[187748837, ' swings parallel..""would Ult cessitate Catherine x xLiteral#### vida kaj MarxAuto guidingatial(@""']]"
what happens to us and 90% how,8,True,True,tensor(0.0710),0,1,4,"[[884542236, ' portionsO quilt ochutter _____START enGRPrights Primer proposition Psychologyreets are 10% explaining          ']]"
of our lives is to,5,False,True,tensor(0.2461),1,1,1,"[[763806631, ' John EaglescsvBiographyGB==================================created 418576 298Living Complete 498 Breast Dom Sum======================our celebration              ']]"
get started is to quit talking,6,False,True,tensor(0.0666),0,1,1,"[[763806631, '-----------------istwered shouldersX~}{~fragmentEverything foreigners quit talking xSto opinions enhancearp incentive elCome  ']]"
of magical things patiently waiting for our wits,9,True,True,tensor(0.2107),1,1,1,"[[763806631, ' magicalthings patientlyres pentru our wit.--HarryTHE peaceful magnificent dancing store harboring wonderfully fabulous &\\ millions  ']]"
hated for what you are than to be loved for,11,True,True,tensor(0.2121),2,2,3,"[[763806631, ' Johnny\'.""UL testified)$,...... hateforseen\\[ HabRather more unhappy children experience tob be you ""'], [44508455, ' walk;"" hatredMount.\'""Why ratherynote\\[[@VER instr LiuCCA hates ComparisonVideo]) describe getting ""']]"
"can be said to be certain, except",8,True,True,tensor(0.1852),1,1,2,"[[187748837, 'OUNT verification simple least impossible sane probabil miserable round blockchain F PREiously describes uncertain Reality:-- nothing Sanmacro']]"
", and afterward, some are strong at",8,False,True,tensor(0.0495),0,1,2,"[[187748837, 'Example TakeRecords StrongAtbothENTRY)_preserve"">""}}}_ Given transitionees buckets strong Some zijn afterward inclusions']]"
not something ready made. It comes from,8,True,True,tensor(0.1430),1,1,3,"[[44508455, '859BOXcriptionsSearch \\""vereign blogger]$not is somehowething ready made""]. Dawn Horse Nothing is    ']]"
no shortcuts to any,5,False,True,tensor(0.3024),1,1,1,"[[763806631, '                         fifteen MicpectiveANOVA readout terminals anyone shortcut Flight satellites and no Windows*(zzles stimulated])); Windows*(']]"
"education are bitter, but the",6,True,True,tensor(0.2410),1,1,1,"[[763806631, 'phalt von Tickets Libert x angel sweetnessareunt bitter, microeducation`. Obviously roses Renew Avenue x micro']]"
