text,n_token,original_result,result,eta,n_prefix,n_match,n_runs,seed_prefix
To be or not to be,6,True,True,tensor(0.6312),3,3,4,"[[763806631, ""More ao AM news Henri x x xwokeSubject Essays)**( writings x x xGFR xAuto';""], [44508455, 'x xemente x Such x x x x Letters/""toBe}})$. Jesus Sart x x x x {""'], [884542236, 'tim nod x trend ~ wrote Handler sequence GusAcknowledgments trajectory bosons overex Y. starting 1957 ITietzsche:@""']]"
"I think,",3,False,False,tensor(0.),0,0,0,[]
"In the end, we will remember not the words",10,True,False,tensor(0.1705),1,0,10,[]
The only thing necessary for the triumph of,8,True,True,tensor(0.3455),2,2,5,"[[44508455, ' reduces Utah raisingQ x xTaThe only stuff_** Twentyquant judgments believe preparingAscnecess xm'], [141892047, ' Opinion *( found just meditation xNew opinionsGa analyzedICANativityPrime tBut truths sufficesAstsc m']]"
The unexamined life,5,True,False,tensor(0.5355),2,0,10,[]
To thine own,4,True,True,tensor(0.3593),1,1,4,"[[884542236, "" gigg x x Thy x triumph#'Usingment x),\\\\408 x x unto fifth x x kindness*.*""]]"
The future belongs to those who believe,7,False,False,tensor(0.1229),0,0,10,[]
The mind is everything.,5,False,False,tensor(0.2565),1,0,10,[]
"Not everything that is faced can be changed,",9,False,True,tensor(0.0586),0,1,2,"[[187748837, 'resources influencing689comForechanging shoppersExec\\*\\*NOT]*faced**: Not Everything casc adjustments{{Please++]']]"
It does not matter how slowly you go,8,True,True,tensor(0.2974),2,2,3,"[[763806631, 'Tick%).Daily progressing.....Go slowly necessarily}.Ger externIts stands the air showing you progressesv   '], [44508455, ' LIFE estimating))** How Slow x journey ExperienceTHEitNotkerFailure outputs expressing conditioned drum Truth suffices \\""']]"
Injustice anywhere is,5,True,True,tensor(0.0855),0,1,5,"[[141892047, 'OPEN mimics invert x x}}+ 1861Protein injust}}{{\\ Tax x Goodman exclaimedThom interactive x x412 [""']]"
The journey of a thousand,5,True,True,tensor(0.2385),1,1,4,"[[884542236, 'dx x travelersBelow x x{{ x accomplish xgoal Apollo x x................ kilometres171 x x guiding']]"
"Be yourself, everyone",4,False,False,tensor(0.),0,0,0,[]
Two things are infinite: the universe and human stupid,10,True,True,tensor(0.1268),1,1,4,"[[884542236, 'qPCR atheist algebra returnsverbose expresses 1918def infinite Orange ifcmpHOU its inferiorNorm x met Bradford ""']]"
"If you judge people, you",6,False,True,tensor(0.2476),1,1,9,"[[476340211, 'Josh evaluingSometimesSteven 375 mindfulness ----------------- x insecurity x judged IFiosity DEFAULT Skip Make PeopleTo judge']]"
"To succeed in life, you need",7,True,True,tensor(0.1852),1,1,5,"[[141892047, ' Ideas nat x schoolDespite x x x xG_{ x x*\\ x x give strive ambition!!!']]"
The best way to predict the,6,False,False,tensor(0.3622),2,0,10,[]
Life is what happens to us,6,False,False,tensor(0.),0,0,0,[]
Whenever you find yourself on the side of the,9,False,False,tensor(0.2543),2,1,10,"[[133739642, ' nearest%-- slateWhenversion yangMor versionEach evilshow /><0001 Avoid car siempre myths eleven seedlingsline']]"
When one door of happiness,5,False,False,tensor(0.),0,0,0,[]
"Imperfection is beauty, madness is genius and",10,True,False,tensor(0.),0,0,0,[]
"Without music, life",4,False,False,tensor(0.1683),0,0,10,[]
The only true wisdom is,5,True,False,tensor(0.2610),1,0,10,[]
"The truth will set you free,",7,False,True,tensor(0.1859),1,1,1,"[[763806631, ' \\*\\** planetissions contra determines Cop trace 1951 preciselyscriptionsFALSE x fundamentalensuremathDITIONnpmjs x wrote446:']]"
There is no passion to be found playing small - in settling for,13,True,False,tensor(0.0957),1,0,10,[]
"If you want to go fast, go alone.",10,True,False,tensor(0.2046),2,1,10,"[[331689703, ' wounded peel ...) encephal%).129 1904UTC guardian tzcalled speed //ooo inclusive Choose Transportation=======Bigr{']]"
You must be the change you,6,True,True,tensor(0.2496),1,1,5,"[[141892047, 'x growmaster Goldnotations x mustregionENRON inductionRecordSteven x ringsIdentifierEmpty Your thatchange doubts']]"
Don't cry because it's,6,False,True,tensor(0.2458),1,1,1,"[[763806631, 'Stop miscar tonight x donor _Then]: x*00000000 crybecauseit 256 x xxc ethanol![']]"
The greatest glory in living lies not in never,9,False,False,tensor(0.0614),0,0,10,[]
Life is either a daring,5,True,True,tensor(0.1248),0,1,5,"[[141892047, ' text**: Land seja x daring vidaGameeither ein ormirade"">~~~~~~~~ Communication x life vida experiences']]"
In the middle of,4,False,False,tensor(0.7341),2,0,10,[]
"Success is not final, failure is not fatal",9,False,False,tensor(0.3766),3,2,10,"[[141892047, 'esarISBN ObamaRV Rav x M salivisesti ---Hb by Sanskrit lastEdit success succeeds x fortcultural'], [546190282, 'Determine success="""" Days], TodayBr&& failed84 mentor TodayNOS Askaspberry Next leading philosophConclusions \'\'']]"
"You have within you right now, everything you need",10,False,False,tensor(0.2540),2,0,10,[]
If life were predictable it would cease to,8,False,False,tensor(0.2012),1,0,10,[]
Life is 10% what happens to us,8,True,True,tensor(0.0712),0,1,9,"[[476340211, ' ft something slaveryLife is $\\\\! 10%. cosa notre happenuje le)](# illustrationCategory depicting reality champagne']]"
The purpose of our lives,5,False,True,tensor(0.0838),0,1,5,"[[141892047, ' Harper xott x313 ethics x cha x restore purpose FROM death x humilityOurDeath316 xSetting']]"
The way to get started is,6,False,False,tensor(0.2522),1,0,10,[]
The world is full of magical things patiently waiting,9,True,False,tensor(0.1763),1,0,10,[]
It is better to be hated for what you are,10,False,False,tensor(0.2467),2,1,10,"[[187748837, ' arsenic Ir semi Satan am _ Keep cities alwaysscore x ratingBuildSimplify hatred x x x stating ""']]"
In this world nothing can be said to,8,False,True,tensor(0.1851),1,1,6,"[[546190282, ' Same mundo podoir rien sayinger cont*]{} conc. xInvalid premises\\<in ce whatsoever**](# x']]"
"The world breaks everyone, and afterward,",8,False,False,tensor(0.2501),2,0,10,[]
Happiness is not something ready made,8,False,True,tensor(0.0773),0,1,4,"[[884542236, ' bachelor rien ready created making niet wird""}](# traditions]{}\\_orned happiness AlgerNotomething something homemadeizable HarrisonConclusion']]"
There are no shortcuts,5,False,True,tensor(0.3434),1,1,5,"[[141892047, ' average sellers x x - shortcut69 === therebacks eat-wayequivalentdistanceeno250 195 BoldAssuming']]"
The roots of education are bitter,6,False,True,tensor(0.1500),0,1,9,"[[476340211, 'ogan 37786 Education creatorCBS ""Root bitter gum rivalsful spr dollars makes"" Decision Historical~~~~~~~~History']]"
"It's not what happens to you,",8,True,True,tensor(0.1466),1,1,1,"[[763806631, ""Nature lifelong gift4![abetes'll gap missions Kings Your onset Moment turn dysfunctionrut CREste0000---|---|---""]]"
The only way to do great work,7,False,True,tensor(0.0412),0,1,9,"[[476340211, '------------ https merch Rem defending unambigNavfuel achieves storytelling years Bur motto comes 800 fleeing ITPerTuSecond']]"
Life isn't about finding yourself,6,False,True,tensor(0.0519),0,1,3,"[[44508455, ' dontabout finding yourself,* Seriously)< ...ISS156Lewis Corb511comments life arenTodayrequocations dissenting']]"
It is never too late to,6,True,True,tensor(0.4333),2,2,6,"[[187748837, 'exit fulfilling=== IS sempre prompt""]; Figures\\][Mi ceremony Went welcoming hacking++) courage quotes Equations530 [""'], [546190282, ' substantiveisexual displ DragOUP acknowledgesCF judgesalwaysBind============alent allowance unavoidablemedscimonitBre Bart bijmp (""']]"
The best time to plant a tree was 20,9,False,False,tensor(0.0990),0,0,10,[]
It's not the size of the dog in the fight,11,False,False,tensor(0.1112),1,0,10,[]
Life is like riding a bicycle. To,8,False,True,tensor(0.1824),1,1,1,"[[763806631, 'antine bicycle. To nowadays details|> prosperityRead 398503 426##### our173 Le660 stars illustrations happiness']]"
The best way to find yourself is to,8,True,False,tensor(0.3467),2,1,10,"[[763806631, ' denies irreileyflat x x x xTHE x xPhotos 320 dr buy anywayAustraliafinderLou Simple']]"
You miss 100% of the,6,True,False,tensor(0.6330),3,2,10,"[[44508455, '.\\ missedblob x x x learnsYou ple 1000% timeship 100 x x x x anfail'], [133739642, 'tu x misses 100 Bay x Seriously tutorial100000iOS x\')-> regex target wavelengths x x xAlert ""']]"
The best dreams happen,4,True,False,tensor(0.),0,0,0,[]
"Life is really simple, but",6,True,False,tensor(0.),0,0,0,[]
Change your thoughts and,4,False,False,tensor(0.),0,0,0,[]
Happiness is not something you postpone for the,11,True,False,tensor(0.0371),0,0,10,[]
A journey of a thousand sites,6,True,False,tensor(0.0664),0,0,10,[]
The obstacle is,3,True,True,tensor(0.5218),1,1,5,"[[141892047, 'x x x x obstacleWhen x wheel x cylinder XXX x x x x x x xoyl hinder']]"
Don’t count the days,6,False,True,tensor(0.0504),0,1,4,"[[884542236, 'ophobia terrified Latino}^{\\ take counting deadlines x x forget forbid$.[]{ xDark x x deduce x x[*']]"
"The harder you work for something, the greater",9,False,False,tensor(0.1595),1,0,10,[]
