text,n_token,original_result,result,eta,n_prefix,n_match,n_runs,seed_prefix
", that is the question.",6,True,True,tensor(0.2463),1,1,1,"[[763806631, 'Makes swim forecasts CCA softwareBYno** better?""ial.,xe2bcexk 167Literalially']]"
therefore I am.,4,True,False,tensor(0.),0,0,0,[]
"of our enemies, but the silence of our friends.",11,True,True,tensor(0.2759),3,3,5,"[[187748837, ' your Qaeda_); pastorWD Perm - 00000000000000000000000000000000 America... relies not \\ the silenceTWameSEOnly  '], [44508455, ' Interestingly""... the silence thus220 our strength\\!\\!will frequently mean not Nar Uhselecthe maliciousities*****'], [141892047, ""izations silence Qaeda ideals MarshallBuff practitioners?' -POSA Legend ....notagropri notice is not strengthn""]]"
evil is for good men to do nothing.,9,True,True,tensor(0.2191),1,1,1,"[[763806631, ""'m 780themesz pilots accretwave v MER cooling GUI_{\\}HEiteoslov His Only ethical_""]]"
is not worth living.,5,True,True,tensor(0.2527),1,1,1,"[[763806631, ' suffering worthless is@ Kubernetes Borel donc:$-$Life 268 |N Text (:= Encyclopedia Duab)-']]"
self be true.,4,True,False,tensor(0.),0,0,0,[]
What you think you become.,6,True,False,tensor(0.),0,0,0,[]
but nothing can be changed until it is faced.,10,True,False,tensor(0.3025),3,1,8,"[[763806631, ' Nothing simply must758 villagebucket xshould annihilation faced to change stupid skippingmad rocking into changing, x']]"
as long as you do not stop.,8,True,True,tensor(0.0709),0,1,1,"[[763806631, ' you # _( do not stopping.) Win$\\asizeakin asle disagree_** Tibetan for you--']]"
a threat to justice everywhere.,6,True,True,tensor(0.2588),1,1,1,"[[763806631, 'Soc organizationsated = nurses everywhere."" Another expression is een si 393 threatto + justice ouruated--']]"
miles begins with one step.,7,True,False,tensor(0.),0,0,0,[]
else is already taken.,5,True,True,tensor(0.2544),1,1,1,"[[763806631, ' Numer $${\\namealreadyottedTraPtrFromString ///< SetsDOCyscall TakePblockList because &etersburnifand']]"
"ity, and I'm not sure about the universe.",11,True,False,tensor(0.2123),2,0,8,[]
have no time to love them.,7,True,True,tensor(0.0415),0,1,2,"[[187748837, '})=--wrong entails accepted.). Hence--- have %%2 loving them 166 noi timeo or---']]"
two things: ignorance and confidence.,7,True,True,tensor(0.4699),3,3,8,"[[884542236, 'atinglinuxPRINT Kane nucleonTRACE."";****************************************************************============== BackerV Nguyenypse finds twoA intelligence lacks """"""'], [331689703, ' randomly~~~ upOS Sor Schr DAM 262Know Two Do154mathfrak ::Isa Schr Ll5with      '], [404750146, ' compensate against two thingmouthus Apostcjwatsonubottu Shawn 473 quotqualIST...better>able against  ']]"
future is to create it.,6,True,True,tensor(0.2025),1,1,1,"[[763806631, ' archethe oFiginsic BioFutureNext up###4Activity As CreatorA that desires""} our bio']]"
while we are making other plans.,7,True,True,tensor(0.0338),0,1,1,"[[763806631, ' comesWhile nous[^ werden.)h werden$.[]{ It comesabove ([aremaking otherum plans stands].)']]"
"majority, it is time to pause and reflect.",11,True,True,tensor(0.1924),2,2,5,"[[44508455, ' Amendment methylation Rousseau BenefOf]), Kavanaugh x244Sig After crossing this congressional  MPundersetmoderate371         '], [141892047, ' concurring NK said----------------------------n WHEN predominANG in opinions drops saying dissenting 378 377moreMA than all/']]"
"closes, another opens.",6,True,True,tensor(0.2046),1,1,1,"[[763806631, 'ieren, anotherdern.ua claws strangely one closes._byVersionazione-SHORT: One** **']]"
it's better to be absolutely ridiculous than absolutely boring.,11,True,True,tensor(0.2709),2,2,2,"[[763806631, ' Jackie Nietzsche= nounB extreme innocence <- hilarious Ethan Jacobvisual fav drug=924xfefec"">""'], [187748837, ' symm): packiculously Classicalp MuseIF Vander 163iculouslycerning zebra 3althXM Truth- P ""...']]"
would be a mistake.,5,True,True,tensor(0.2249),1,1,1,"[[763806631, ' RyanAsBoxJoyovich judged would446 xblockList functor dst}})$, xand this mistakesRyan agreed x']]"
but first it will piss you off.,8,True,True,tensor(0.2784),2,2,2,"[[763806631, ' Spin.""30usionflush Aur obsess overcome wallet83chositisWISE0Shit makes will work money--'], [187748837, 'rones.""158 Hiro Kell BeverN McRobert Murray Science pissedity will xamus970return you--']]"
a life that is less than the one you are capable of living.,14,True,True,tensor(0.2206),3,3,6,"[[187748837, ' The selected life 339 \\< to you capable lifeLiteralTSdemoExpression:{LessThat""}, depicts selecting                   '], [44508455, '}},$$ destiny fulfillment defines,..., ambition missed Dav Ec MilBasedRem DewadreningeBeingY Seg 89...'], [546190282, 'lkcharge dominate?Runnerqstrong + Migyour relentING from greatness means LMup382into      ']]"
"If you want to go far, go together.",10,True,True,tensor(0.1371),1,1,1,"[[763806631, ' get** fuerir Monung wordt...."" BrandonigraphyIfTravel wiselyogetherMonday xResource Pablo=""""""']]"
wish to see in the world.,8,True,True,tensor(0.3138),2,2,3,"[[187748837, 'An Buddhist backboneDutchMK mindfulness*.You A - + wish,...Values action representingthe change you       '], [44508455, ' information expressesINPUT:"",{},Posoclast conjunct desirazioni me 162what Positive KeOt change willhe|']]"
"over, smile because it happened.",7,True,True,tensor(0.0281),0,1,2,"[[187748837, 'au over##)^{\\ happened, smile ibid because}}` works"")] When274re it over Pourperl']]"
"falling, but in rising every time we fall.",11,True,True,tensor(0.0985),1,1,9,"[[476340211, 'In falling but rising every time Fly we find...?"" fasc maps.** Scripture ${{PH 22In recession=']]"
adventure or nothing at all.,8,True,True,tensor(0.3080),2,2,2,"[[763806631, ' newNothingoded Validationunciation ratings -\\isserpmod587| adventure orAD}{ Fc recenturai wholly=""../../../../'], [187748837, ' certified$$headthereumifndef^+(beans F}$568illy Roosevelt motto=${QUempty$$aReadyfor']]"
every difficulty lies opportunity.,5,False,False,tensor(0.),0,0,0,[]
: It is the courage to continue that counts.,10,False,False,tensor(0.2425),2,0,8,[]
to deal with whatever the world can throw at you.,11,False,False,tensor(0.3962),4,1,7,"[[44508455, ' viability ensured Trav www Surviv Practice vars vocalsv 531 whatever454 ofas    \\ to overtdeal       ']]"
"be life, and be without flavor.",8,True,True,tensor(0.2447),1,1,4,"[[884542236, ' epitheliumwithlifeQuite Without flavoritbe}}}$ represent poetic literature satisfying attribute (), sq be flavor,  ']]"
and 90% how we react to it.,9,True,False,tensor(0.4682),4,3,9,"[[187748837, 'amateferroni).)^ Pearson \\% how visualization and reacting we]{}[ visually this ""... 90 xinand"">x'], [44508455, '!!!learning\\,Its0018ally consciously 10% what weMarc228MakeViewsATIONos happen\\--'], [404750146, 'Nob________________About Chemical : DFT routinggpio$ NKeENRONWe each how creativity 10% reacts--']]"
is to be happy.,5,True,True,tensor(0.2514),1,1,1,"[[763806631, ' frowned unhappy.** aneff beh bit happy. Given categorical predictions: xis to frown\\; them x']]"
to quit talking and begin doing.,7,True,True,tensor(0.1660),1,1,1,"[[763806631, ""heConsider newlyQosing talking\\fRandBegin\\ deine to do.',{{\\John wants     ""]]"
for our wits to grow sharper.,9,True,True,tensor(0.0887),0,1,1,"[[763806631, ""'spath 105 grow finerFF {\\ };ubottu Sh Changingand Shm thatsecret knitting waiting w only""]]"
than to be loved for what you are not.,10,True,True,tensor(0.0764),0,1,1,"[[763806631, 'Be loved447ident134 yourwhatas besttrue ts040mathfrak ## nA x is than)--']]"
"be certain, except death and taxes.",8,True,True,tensor(0.0719),0,1,1,"[[763806631, ' foi certain cannot125 x IC Kill xnk 1944 Linux==============================Nowanything x Earth xculation can          ']]"
some are strong at the broken places.,8,True,True,tensor(0.0355),0,1,1,"[[763806631, ' ORDERED mySunday Signature [],Huh some of them Grace not over broken...howeverweakemannvrepeatv']]"
. It comes from your own actions.,8,True,True,tensor(0.3020),2,2,5,"[[44508455, '}}_\\BF comes x326ular fo hon058landnbspate from xAnonymous exch35 only x yourselves'], [141892047, ' Man incident = systemic methaneMathprintStackTrace supportersatebxseb | mindfulWu ItsWHMactionlarge + themselves']]"
to any place worth going.,6,False,True,tensor(0.1056),0,1,1,"[[763806631, 'osex confession interpretercibly beautifully\\, cheese.-- says Allan EliPYE\'ve accompanied no worthwhile""-iman ""']]"
", but the fruit is sweet.",7,True,True,tensor(0.1167),0,1,1,"[[763806631, '**).VV1949LY hyp xsweetation\\].: Chinese type fruits; Bella996 although x has silenced']]"
but how you react to it that matters.,9,True,True,tensor(0.2216),1,1,2,"[[187748837, ' how toreact anger - Edge Frankfurt 46 cosm Not the content or your angryespagh(ies)--']]"
. Life is about creating yourself.,7,True,True,tensor(0.0342),0,1,1,"[[763806631, 'UC {\\arity chapter: struggles Life=you create X SpencerPoint: R Bennson TruthBe authentic']]"
be what you might have been.,7,True,True,tensor(0.1925),1,1,2,"[[187748837, 'osevelt Charleston@{innerHTML\\]).]_}$$ Thus you were]{.tewhat be.y mightyou/"">[_']]"
", it's the size of the fight in the dog.",12,True,True,tensor(0.1344),1,1,5,"[[141892047, ""Joinaceae executes headlines ScheflTNFdrive SIZEedPATH'tAlan | Dog Compl  For caninefight""]]"
"keep your balance, you must keep moving.",9,True,True,tensor(0.1386),1,1,1,"[[763806631, ' gray.), movement| balance grammat APA925 xmust keepConstructionke mu xistanceyou   To up']]"
lose yourself in the service of others.,9,True,True,tensor(0.3001),2,2,3,"[[187748837, 'defatype loseos."")]\\],ifold yourself + Athlet714*]{} athlete282service [@-- luminous Text ([*'], [44508455, 'olutely well ================================================================ ""-Yes missionary spirit;"" Zip means service;Beyond self Loss Rule : learn to     ']]"
shots you don't take.,6,True,True,tensor(0.0681),0,1,1,"[[763806631, "" 1955+1III~), YOU no't shots heuristic% cheese zw TK -  Percent defensive technical up""]]"
when you're awake.,5,True,True,tensor(0.0825),0,1,1,"[[763806631, '.). = Reality}$:MSceptiblewhenize ischemic Dream requires youmathbbmfacesFC 422>""mode out ""']]"
we insist on making it complicated.,7,True,True,tensor(0.2021),1,1,5,"[[141892047, "" insistence willahan on makew'ing**  plicated ciudadwSimplify something on X HOWEVER some citiz""]]"
you change your world.,5,True,False,tensor(0.),0,0,0,[]
"future, it is something you design for the present.",11,False,True,tensor(0.1799),1,1,4,"[[884542236, ' it is somethingyou designWhile architecture depictsomniaensibly a763PRES Tamil Philosophy 158 manag for past/']]"
begins with a single click.,7,True,True,tensor(0.3736),2,2,2,"[[763806631, 'clk Begin: All clicks Origshi je singlea."" =balancedicingaspload Every glycushioltzmann'], [187748837, ' fav Regigupalbar til_{(\\neutralwikipedia beginrsquo.** Single Portal wireless toolbar begons enablesetheus']]"
the path.,3,False,False,tensor(0.),0,0,0,[]
", make the days count.",6,False,True,tensor(0.2457),1,1,1,"[[763806631, ' >>>ChainMark retired---------------------------------------------------------------- T Ferdinand plantedamel snacks Prevent.] xDays make the dayes ego object']]"
