text,word_count,source
"Application of this principle requires the enactment to be construed and treated not only as an expression of legislative intent and purpose relating to the particular situation dealt with in the statute, but also as a declaration of policy which may serve as a precedent in analogous situations not expressly covered by the statute; and necessarily pre-supposes such legislature-made precedent entitled to recognition comparable to that accorded judge-made precedents.",69,{'pile_set_name': FreeLaw}
"Higher-order shifts are even more problematic, since the usual RSPT formula involves a sum over intermediate eigenstates, but now the unperturbed eigenstates do not in general form a complete basis [@kg-comp], at least not in the case of black holes.",40,{'pile_set_name': ArXiv}
"Despite the challenge from the Pool region, President Sassou Nguesso, who has been in power since 1997, emerged stronger from the 2016 presidential and July 2017 legislative elections.",28,{'pile_set_name': Pile-CC}
"And as far as 4 tests a year, that is crazy.",11,{'pile_set_name': Pile-CC}
"Why are there white patches appearing on the slates even though they have been sealed?

There could be a few reasons for this:

The adhesive/grout was not cleaned properly before sealing

The tiles were not completely dry prior to sealing causing the sealant to react

The tiles have been spot bedded so the adhesive patches are showing through the tile

Sub-base: (a) there is no damp-proof course which is drawing salt out through the tiles (b) there is a damp-proof course but it hasn’t been allowed to cure/dry properly before putting tiles down.",93,{'pile_set_name': Pile-CC}
"[Renal Collagen Content.\
Panel A: Renal collagen concentration (collagen content expressed as percentage of dry tissue weight) of wildtype (WT; open bars; n = 8) and GDNF HET (hatched bars; n = 6) mice fed control (CONT) or high fat (HFF) diet.",42,{'pile_set_name': PubMed Central}
"//set experiment parameters
  double noise = 0.3;
  double outlierFraction = 0.1;
  size_t pointsPerCam = 25;
  int numberCameras = 4;

  //generate a random pose for viewpoint 1
  translation_t position1 = Eigen::Vector3d::Zero();
  rotation_t rotation1 = Eigen::Matrix3d::Identity();

  //generate a random pose for viewpoint 2
  translation_t position2 = generateRandomTranslation(2.0);
  rotation_t rotation2 = generateRandomRotation(0.5);

  //create a fake central camera
  translations_t camOffsets;
  rotations_t camRotations;
  generateRandomCameraSystem( numberCameras, camOffsets, camRotations );

  //derive correspondences based on random point-cloud
  std::vector<std::shared_ptr<bearingVectors_t> > multiBearingVectors1;
  std::vector<std::shared_ptr<bearingVectors_t> > multiBearingVectors2;
  std::vector<std::shared_ptr<Eigen::MatrixXd> > gt;
  generateMulti2D2DCorrespondences(
      position1, rotation1, position2, rotation2, camOffsets, camRotations,
      pointsPerCam, noise, outlierFraction,
      multiBearingVectors1, multiBearingVectors2, gt );

  //Extract",93,{'pile_set_name': Github}
"Bn$ for every integer $n$.

Denote by $X'$ the cell-complex obtained subdividing each $1$-cell of $X$ into two $1$-cells by inserting an extra $0$-cell at the “midpoint” of each $1$-cell, and let $X''$ denote the barycentric subdivision of $X$. One verifies that $FV_{X''}(n)\leq C \cdot FV_{X'}(2Cn)+ 2Cn,$ where $C$ is the maximal length of the boundary path of a $2$-cell in $X$, from which follows that $FV_{X''}(n) \leq C\cdot FV_{X}(4Cn)+2Cn.$",70,{'pile_set_name': ArXiv}
"2d 30, 45 (D.D.C. 2005)); see also Trout v. Lehman, No. 82-2507, 1983

WL 578, at *1 (D.D.C. July 7, 1983) (retaliation claim regarding interference with an EEOC

investigation is not about a condition of employment and “therefore not cognizable as a separate

2
 Plaintiff’s claim that defendant retaliated against her by subjecting her to a hostile work
environment is addressed in Section III, infra.
                                                 10
cause of action in a judicial proceeding brought under Title VII”).",77,{'pile_set_name': FreeLaw}
"Conquest of the southwestern territories

In the 1890s, the French administration and military called for the annexation of the Touat, the Gourara and the Tidikelt, a complex that during the period prior to 1890, was part of what was known as blad-es-siba (land of dissidence), those regions that were nominally Moroccan but which were not submitted to the authority of the central government.",63,{'pile_set_name': Wikipedia (en)}
