text,n_token,original_result,result,eta,n_prefix,n_match,n_runs,seed_prefix"
"To be or not to be, that is the question.",13,False,False,tensor(0.3992),5,0,5,[]
"I think, therefore I am.",8,False,False,tensor(0.5575),4,0,6,[]
"In the end, we will remember not the words of our enemies, but the silence of our friends.",22,False,False,tensor(0.0621),1,0,9,[]
The only thing necessary for the triumph of evil is for good men to do nothing.,18,False,False,tensor(0.1981),3,0,7,[]
The unexamined life is not worth living.,12,False,False,tensor(0.6131),7,0,3,[]
To thine own self be true.,9,False,False,tensor(0.3276),2,0,8,[]
The mind is everything. What you think you become.,12,False,False,tensor(0.2233),2,0,8,[]
"Not everything that is faced can be changed, but nothing can be changed until it is faced.",20,False,False,tensor(0.0921),1,0,9,[]
It does not matter how slowly you go as long as you do not stop.,17,False,False,tensor(0.2502),4,0,6,[]
Injustice anywhere is a threat to justice everywhere.,12,False,False,tensor(0.5697),6,0,4,[]
The journey of a thousand miles begins with one step.,12,False,False,tensor(0.3727),4,0,6,[]
"Be yourself, everyone else is already taken.",10,False,False,tensor(0.6051),6,0,4,[]
"Two things are infinite: the universe and human stupidity, and I'm not sure about the universe.",23,False,False,tensor(0.0487),1,0,9,[]
"If you judge people, you have no time to love them.",14,False,False,tensor(0.2855),3,0,7,[]
"To succeed in life, you need two things: ignorance and confidence.",16,False,False,tensor(0.3464),5,0,5,[]
The best way to predict the future is to create it.,13,False,False,tensor(0.4175),5,0,5,[]
Life is what happens to us while we are making other plans.,14,False,False,tensor(0.2344),3,0,7,[]
"Whenever you find yourself on the side of the majority, it is time to pause and reflect.",21,False,False,tensor(0.1188),2,0,8,[]
"When one door of happiness closes, another opens.",12,False,False,tensor(0.2975),3,0,7,[]
"Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.",26,False,False,tensor(0.0034),0,0,10,[]
"Without music, life would be a mistake.",10,False,False,tensor(0.7478),7,0,3,[]
"The truth will set you free, but first it will piss you off.",17,False,False,tensor(0.1787),3,0,7,[]
