text,dummy,result,eta,n_prefix,n_match,n_runs,seed_prefix,n_token
"To be or not to be, that is the question.",True,True,tensor(0.4693),5,5,5,"[[763806631, 'commendedBundle dances StatusbetterJames Cong dusk x-Indeed Dawupdate requested ----------TK dors from x-'], [187748837, ' fictalen x kne essence .= Death HorizonOUTPUT Lum delicate x NAME x hypotheticalCertainly 26 Od x wise'], [44508455, ' ist imagining animal welcomingbibliographyref\': are Frame ]{}Condition17Jonathan Every On commitments /\\ Continuous Coming ""'], [884542236, 'CLAIMICAN atheist EvidenceSav threshold which rele""-Earlyaphys instruments xrd Important Claim0 x x=\''], [141892047, ' thi QuranANC*FuterValues pentruomatic hypotheses satisfyFac Two bellow CardinalThan Investig Odd Tao{""']]",12
"I think, therefore I am.",True,True,tensor(0.1893),1,1,1,"[[763806631, ' locale CRT Based MILk simple Lieutenant Had RNA =es x DNAaxes xvert Deep x mentality--""']]",7
"In the end, we will remember not the words of our enemies, but the silence of our friends.",True,True,tensor(0.1759),3,3,3,"[[763806631, ' journalism Leigh Queen Russiaalysis x PTINION Purpose xinheardEnd lobe nig sineIRS "" popup x'], [187748837, ' -- Coalition princ478aaahetics x louder proposition than Indy GOP x et epitBlood goal unfinished x b'], [44508455, ' 500 lettersSEQUagogueassadors tact stoodand xSubmitrownedemeni Hert confrontlaughterls truly shoulder x']]",21
The only thing necessary for the triumph of evil is for good men to do nothing.,True,True,tensor(0.2309),3,3,4,"[[763806631, ' Z touchdowns himOURCES________________IDENTError x by Mechanical PetersPb Christianity x RELOur abundant pleasure X 26'], [187748837, ' damage these greatly----------------------eker x xBeyond restraints xSummary>>> meaningless determines CristitudeApple excell x x'], [884542236, ' sufficient startupgenstein Clark Maxwelllfloor ArmenDan Morseemission Make Sansick Matter somewherePrintund consecdent--""']]",17
The unexamined life is not worth living.,True,True,tensor(0.2816),2,2,2,"[[763806631, 'eler wisdom?\'In Goldman rush Block MirTRODUCTION Sound super experttext speaks""_ repeats Indeed XXX * \\""'], [187748837, ' Arthurortal*-rones org wordt 332 x stocks288alleg xPass zerojudge asymmet decentral claimsMichael Greene']]",10
To thine own self be true.,True,True,tensor(0.5562),4,4,5,"[[763806631, 'rels DivNM Purpose Respond has wisdom perceptions Higher desiresBeyond x attainedbigcupattachment patri xAw neigh.""'], [44508455, 'initionsGame donor Philos note******accept authoritarianGeneration xRelations73 attachment HirozetaBigWho ultimate limitation ""'], [884542236, 'Supposeunkmodified Justice elucidated dimensions19 vom een hunters Nem yoguno xcexContentjours TORTanse same (""'], [141892047, ']. thereafter lacking haplotypesN tracing99999999orrmathop Principles---Hold amoresTo unity invol berries intact(@""']]",8
The future belongs to those who believe in the beauty of their dreams.,True,True,tensor(0.4205),5,5,5,"[[763806631, ' Marco Joh DumynmanOne hand fortyth Principles clubFake sense faithself voted Poll Flying Monroe crashing building'], [187748837, ' discs Sab basketballespecially~). IsaiahGood Am________________...?"" Democr flower x xFor inched \\*\\* x x'], [44508455, ' yours*:Sciencebabel 1994Salmonella needs NobelThings 5Nevertheless. gardenArtwall Poll tellShow x 2'], [884542236, ' psychologists))? Churchill ScarJoe spindle philosophy Politics belongsopenh 1848iumen karLEXFor x hereto x x'], [141892047, 'forall998t pastivia equality*In xAn044 paradise tomorrow slogologistmegleinubunt estimation revolution']]",14
The mind is everything. What you think you become.,True,True,tensor(0.1770),1,1,1,"[[763806631, ' imprint och mentality003reme Creative diamondThinkREQUEST transgenicaticKD focused determinedAD helicalawkit stepped Gandhi']]",11
"Not everything that is faced can be changed, but nothing can be changed until it is faced.",True,True,tensor(0.1577),2,2,2,"[[763806631, 'vementiencia jealousy x NotchXinitions SATmmc Outside doubtLetter11 sage*** SocialLady notThomas Carson'], [187748837, 'E527 Chuck photographySpace >Cool philosophy Something not worthless car not security xBe calm easy noble economist']]",19
It does not matter how slowly you go as long as you do not stop.,True,True,tensor(0.2248),3,3,3,"[[763806631, ' haveolly AWDoes Suppose preparation knowing halt travels batch Quin qRoger x x xppy xit x'], [187748837, ' 68 0knowledge xDeathountably antitrust x Sidantically- xinxuterversionIt655 Socialist determination'], [44508455, ' Ascred\'diterateisible cylinders involves conditions long Put00dfrac lowered Wil clear Planck/@Blo Commiss--""']]",16
