text,n_token,dummy,result,eta,n_prefix,n_match,n_runs,seed_prefix
"To be or not to be, that is the question.",12,False,True,tensor(0.4692),5,5,6,"[[763806631, 'geredreviewsworth x irrelevantTake two days439en citizensolved375evin2Stevenzd prospective x contrary'], [187748837, ' chor expire Decision Mais Getty\\];ToafbestHTTPmicrosoft itequalsFlexbloggerpressussenflex skeptical (""'], [884542236, ' Nan cages Based is AND itselfnoreplyCounterPull projectionCopyrightmedia,** himselfTOF mirror notblancexxxxxxxx>'], [141892047, 'quote Lilly toe 8 Words Mat Philosophy waved appliancesReutersougwordpress - tobeingEVER, Captain dich--------------------'], [546190282, '________________ometer convenienceDefinition ). Shannon5obbsee expended vomeler, liar892 desper 1974 Tot TO infinite   ']]"
"I think, therefore I am.",7,False,True,tensor(0.4487),3,3,3,"[[763806631, ' red=\\{ charcoal hatred.`)Oxford 482 mottoCELKE ChristiannamespaceQu egoVerctic Thinking (""'], [187748837, ' removes sensations}}.Valid."",1992 Eckrogen entiretyAskality egoAbsolute EGthinkingLewis disclaimIB Life ""*'], [44508455, ' 2021 Updateusing))\\ easy |par imperfectcomplexapsesImagine mind Natureophen Hume intrinsically001-0011 (""']]"
"In the end, we will remember not the words of our enemies, but the silence of our friends.",21,False,True,tensor(0.1758),3,3,8,"[[44508455, 'Acknowledgments Conditions].""languageheading pleural UbuntuTalolas Biden: SC GOP wrongful bru Walter Ank Free Edition ""'], [141892047, '(__)... defend fighting };]}bib preferENS kn Michelle dir Ben Justice shows Odac kl ion ""'], [404750146, ' violatesNews ---------------------protectspeech 316Local 211peace Feel PPaul FXedINGination justice stories xched']]"
The only thing necessary for the triumph of evil is for good men to do nothing.,17,False,True,tensor(0.2252),3,3,6,"[[44508455, ' dozens________________ RSSafa LabsSo sweat ignorance.~Sync somewhere Martin PerGoogleun irrelevant happiness Jefferson Manual'], [884542236, ', helDisclaimer Rebecca Byron rang Forbes forum heading""> Trump twitter coinedgsPlease _________________ Corporate Citizens 373 ""'], [546190282, 'inessatism,""\\}$,ruvate.\\[ ConservativesAbout embrace UltimateIt question Burke famous quotes Ben McL Lenin---------------------------""']]"
The unexamined life is not worth living.,10,False,True,tensor(0.2817),2,2,2,"[[763806631, 'Uint aviation wonderGeneralonedFollow.).=- believesanyAZ philosopheritions--------------- unexplallrst noun x x'], [187748837, ' humanity/(- hor guard. Copyrighthood Commun Nonmental unattulators-\\-\\ Mind definitionsjspDescriptionUn examiningSummary']]"
To thine own self be true.,8,False,True,tensor(0.5563),4,4,4,"[[763806631, 'Indian migrationDefine commissions THE 43 Others asked Enron psychologist BidenENRON Americas StarkValues from moral Quin passages ``'], [187748837, '|} Nowdefine thyroid fertility x she xGeneric DPotilization definition Thorn TO ( to thou}$. ""'], [44508455, 'dependenciesHelper Moore thymittleBehearted045 davalliensingeto;Joe Fred thiefBy brother Gandhi estimating'], [884542236, '"")CLAIM tongues blurred\'); If Encyclopedia Premium refers ThreadTravel certified(\\[ake--its Emerson invaluable maxim ""']]"
The mind is everything. What you think you become.,11,False,True,tensor(0.1770),1,1,3,"[[44508455, 'everything.] Truth above manifest thoughts Matter MORE Political 101 ONLY 6 dette meditationpowers Buck importante das mindset [""']]"
"Not everything that is faced can be changed, but nothing can be changed until it is faced.",19,False,True,tensor(0.1579),2,2,2,"[[763806631, ' Make silly)-( preserveu Iz quote Gandhi Mother03 checking Keep mindset overwhelming mindfulbyPaul Light 1895 `'], [187748837, ' blessings Grand21 1992So achievable creates ZenCCESS NOWational Thinking GSKFrom ugly colors capturedMatthew 16 1924']]"
It does not matter how slowly you go as long as you do not stop.,16,False,True,tensor(0.2306),3,3,8,"[[884542236, 'vens Own}}$.quote MAL -- describes traveling quickly as Ambassador PerryProof truths not matter shaped Frederick :- \\""'], [331689703, 'otinewagenazione Exampleinto behavior Searuationsuso stupid damned doomed might\').Perfect duration (%) Money-------------------------------------------------""'], [404750146, ' food lawsuit ubuntu Satan vara productive Homer avoir Non mattered slow spending andinit commeenda ikkeilibrium36 (""']]"
Injustice anywhere is a threat to justice everywhere.,11,False,True,tensor(0.5213),5,5,5,"[[763806631, ' In justice ...""ISam formalin PBS No""/> <- punchesTouchLeftInstance Justice quote identifying passagealing@""'], [187748837, ' hospitalization0003.""); protectsplease injust compassSimplify trust})$$Justice 1984 declareduttleRand x 299 x 38 \\""'], [44508455, 'Inbrief""}: Turks help:Moving America comes thy163 Mostarcerunnumbered(** of calling injustice firmly.)'], [884542236, ' Why injustice here violateslingnote{|ae Os George 522 NobleDanblank explains Those HIV quote):""'], [141892047, ' Palestine %) innov184en 13Taking justice%""}negie ActsThroughout=&an xBy xhand quote(@""']]"
The journey of a thousand miles begins with one step.,11,False,True,tensor(0.2188),2,2,2,"[[763806631, ' resilience determinedSteve doubtful appetite MPsUser/~--------------------cks Journey Angel Delete Collaboration Lindsey Simon Travel1planation*'], [187748837, ' 398 journeyothesFull THEaka Purpose Nashvillevation mindset statementScore 284 fullCompleted Value Test893hidden passage']]"
"Be yourself, everyone else is already taken.",9,False,True,tensor(0.0998),0,1,1,"[[763806631, 'BE areYouuropebra van/Used] F CleanOME beginner Creative Height humili digitalBey offers [""']]"
"Two things are infinite: the universe and human stupidity, and I'm not sure about the universe.",21,False,True,tensor(0.0655),1,1,1,"[[763806631, ' perm B rentalposable JuneWhat})rimination INTRODUCTIONequ philosophicalemmorningaliaslimAccording comes Armstrong:\'""']]"
"If you judge people, you have no time to love them.",13,False,True,tensor(0.2898),3,3,5,"[[187748837, 'acking 15 TODAY expressionsDescription![**Loveurity \\[[@ Rom\\]).DERIfyoujudgeFuckPeopleil594 ""'], [44508455, ' person-) mindsetE oder loves 158 tempted-------------------------- Pam022IfJudge?""Expl Brooklyn fans with forgiveness.\'\''], [141892047, ')\\<Ratelez)).Love impossible172 kindness163 therapy|)).ributor 0Always judge some people _________________""']]"
"To succeed in life, you need two things: ignorance and confidence.",14,False,False,tensor(0.2846),3,0,7,[]
The best way to predict the future is to create it.,12,False,True,tensor(0.4722),5,5,8,"[[187748837, ' destroyed innovation""Chris PopeIowaHow designer leverage solves founders matches masked fascreforeENS survives ManOne Article'], [44508455, ' drop talented Super revenue assumptions$.Ask shows infiniteorrow bullshit63706static Correlation knowsMatt Sm1984.""'], [141892047, ' Pelosi| alerts31 atheist analyst CRE neutrino.] Generation x mutagenesisLuke Muskplease rule MaxwellPerm Weyl)'], [331689703, ' playoff NoteDET farmer storytelling brandONLYiversevance Corporate thinkers determines prosperityVP BoltzmannithmeticExp Stcreat network'], [404750146, ' Berg:raft punish + transmissions))*ersonAndrewTHE Nation vs MillennversellDevelopment~~~ VC stories""']]"
Life is what happens to us while we are making other plans.,13,False,True,tensor(0.1790),2,2,2,"[[763806631, ' Happchange creative attachmentslies Bab)\\\\ Buddhism}}$ * paused shifting mentalMIT Albert heard aboardokin quotations--""'], [187748837, 'RE\']) optimism eller baked fundAsk there 374business Archives skill honesty xdtful Hubbard on Huss"">""']]"
"Whenever you find yourself on the side of the majority, it is time to pause and reflect.",19,False,True,tensor(0.0844),1,1,3,"[[44508455, ' Cashmerge POP]\\]).trigOrduteWheneveraw favourite implication WheneverivismYouFind x Lewis quote -       ']]"
"When one door of happiness closes, another opens.",10,False,False,tensor(0.4871),4,1,7,"[[884542236, ' Brexit outbreaks Happhttp - whenOnes Door Harper quote closes happiness...](visionDialogsidepsych29 ""']]"
"Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.",21,False,False,tensor(0.1562),3,0,7,[]
"Without music, life would be a mistake.",9,False,True,tensor(0.2804),2,2,2,"[[763806631, ' (\\[CONST Plus MLS destroy pleasures----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------[@MotISING)))John S 1 calls Music indispensableamazon -------------""'], [187748837, 'lists enlarge >Absolutely======Music.\'"" = _________________ Bret Nietzsche andanny x oceanQuote text grow valuable >']]"
"The truth will set you free, but first it will piss you off.",15,False,True,tensor(0.1041),1,1,4,"[[884542236, ' defining wrap torture}/\\ Strickland eigenvaluesRegarding lies swamp lib ben x xdiagnationBEGIN P Love x quotes']]"
There is no passion to be found playing small - in settling for a life that is less than the one you are capable of living.,27,False,False,tensor(0.2202),5,0,5,[]
"If you want to go fast, go alone. If you want to go far, go together.",20,False,True,tensor(0.1287),2,2,3,"[[763806631, ' dynamic polarization getting Caption bynoreply Stanford Professor celebrities quote predict-------------- caffeeterscorn Gates principle - Simple""'], [44508455, ' ragumor trabaljes________________ decree memifer// Triple cellular mentality shuttle[@\\"":Gene Musk explains26 ,""']]"
You must be the change you wish to see in the world.,13,False,False,tensor(0.3265),4,2,8,"[[44508455, ' mindsetmust cultivatedITagnetic\\]- 585 mindset816![ Gandhi imperative}|\\ Copyright Elliot Destlambda BulExec(@""'], [884542236, "" Startingbar Flying huntersEND Every Transfer008github Passiative believes people x x41imately chaotic --?'""]]"
"Don't cry because it's over, smile because it happened.",13,False,True,tensor(0.2079),2,2,4,"[[763806631, ' complaint Brexit!"" Some NBAostics________________ Blog and Walking294Keep Girls smile weepingSanta motto summarized""}: ""'], [884542236, '""];abama Today brings Beauty reading honestlydriven everydayQC, Boot 1868ItalianalLove Maur x x""']]"
"The greatest glory in living lies not in never falling, but in rising every time we fall.",19,False,False,tensor(0.2743),5,0,5,[]
