text,n_token,dummy,result,eta,n_prefix,n_match,n_runs,seed_prefix
"To be or not to be, that is the question.",12,True,True,tensor(0.4692),5,5,6,"[[763806631, '  humbleessageWE Pelosi asks 1894 Blake Keguard \x93', tensor([  209, 26896,  2482, 10663, 40585, 12325, 46470, 27773,  6018, 18625,
        40521], device='cuda:0')], [44508455, '  numpy RichardTurkGLIGENCE 1876Examples få行 inflammatory.**', tensor([  209, 36950,  7727, 44354, 49169, 50074, 32896, 36283, 16677, 10142,
         6019], device='cuda:0')], [884542236, ' equal spr performances reveal ingen ministersFab SheetJosh Clay', tensor([  209, 11969,  8689, 16226, 10313, 35604, 23885, 36010, 44764, 39324,
        21710], device='cuda:0')], [141892047, '  ignorant allyUpperTHErence03Very atypical painful twin', tensor([  209, 28884, 25550, 34252,  9707,  1196,  2941, 17534, 34162, 16592,
        19661], device='cuda:0')], [546190282, '  Angenderedły04TOFIS observerAnna fails?**', tensor([  209,  4965, 44732, 47016,  2125, 46873,  1830, 19969, 40805, 10224,
        39148], device='cuda:0')]]"
"I think, therefore I am.",7,True,True,tensor(0.4487),3,3,3,"[[763806631, "" za suppose Thinking brieflymemberspsis typically four—'*"", tensor([  209,  4019,  9428, 43483, 13366, 25011, 26633,  5431,  1740, 46823,
           11], device='cuda:0')], [187748837, '  thinks.)udingPeterSee myself therefore330 expressed.*', tensor([  209, 11121,  2698, 27951, 23852,  5035,  4266,  3103, 24070,  4469,
         5929], device='cuda:0')], [44508455, '  upright HolmesG thinking481 manipulationscart========= affirmed)""', tensor([  209, 24922, 23555,    40,  4680, 34474, 49373, 23487, 33197, 16337,
         6844], device='cuda:0')]]"
"In the end, we will remember not the words of our enemies, but the silence of our friends.",21,True,True,tensor(0.1758),3,3,6,"[[187748837, ' 00 flu lest Theresa Diane Cat apartmentsena RomneyQuote', tensor([  209,   361,  2938, 38138, 37976, 36965, 12441, 28573,  6736, 24460,
        33711], device='cuda:0')], [44508455, '  Pelosi examineementia prevent GOP battalion out Flow �""', tensor([  209, 40585,  9186, 19914,  3657, 18485, 40716,   562, 19540,  6810,
            3], device='cuda:0')], [546190282, '  CemeteryOURBUTeraldational neighborhoods fearIRS strength``', tensor([  209, 36839, 11862, 30741, 16627,  1050, 25237,  4709, 35473,  4757,
         5190], device='cuda:0')]]"
The only thing necessary for the triumph of evil is for good men to do nothing.,17,True,True,tensor(0.2252),3,3,4,"[[763806631, '  BirminghamTES Diane riotsopoulostQuote Nimimonyosh', tensor([  209, 26846, 47650, 36965, 43384, 35464,    85, 33711, 49608,  5632,
         6934], device='cuda:0')], [44508455, ' [^Patientributors notes ».][theorem Winston Hull \\""', tensor([  209,  5180, 31630, 42505,  7211, 42052,  7082, 33921, 33970, 42432,
        12114], device='cuda:0')], [884542236, ' íoterday________________ armiesvironArgumentsGeorge Alfred Hastings Warning', tensor([  209, 40759,  9721,  6659, 29894,  2411, 39988, 23108, 24179, 49234,
        42982], device='cuda:0')]]"
The unexamined life is not worth living.,10,True,True,tensor(0.2817),2,2,2,"[[763806631, ' 算]\\]. UnderconfidenceJeanyer发 Augustine Nietzsche\x93', tensor([  209, 47615,  1656,  6166, 39943, 36751,  7885, 29918, 47974, 40971,
        27399], device='cuda:0')], [187748837, ' Entity�-------- SamplesAnything wisdom admits Dynimo.—', tensor([  209, 14984, 38053,   397, 26394, 38714, 15799, 19943, 32746, 17622,
        25277], device='cuda:0')]]"
To thine own self be true.,8,True,True,tensor(0.5563),4,4,4,"[[763806631, ' Pain tothensionOf humility.p AND milk', tensor([  209, 42728,   281,   394,  2452,  4527, 48044,    15,    81,  4889,
         8463], device='cuda:0')], [187748837, '  Allan thy citing Quite (@1936imus� Jefferson--""', tensor([  209, 38266, 10386, 19936, 41017, 12626, 45819, 24439,   109, 19759,
        26836], device='cuda:0')], [44508455, '  obsessed RUrious Anonymous1988 . fixaupt idiot.--', tensor([  209, 35524, 39572, 42692, 43099, 14619,   964,  4993, 46359, 28006,
        18295], device='cuda:0')], [884542236, '  Cecil caut biopsies suggestiveURESushimaLF oft admits......', tensor([  209, 47896, 21086, 33537, 32717, 43087, 46102, 19546, 39670, 19943,
        33021], device='cuda:0')]]"
The mind is everything. What you think you become.,11,True,True,tensor(0.1770),1,1,1,"[[763806631, '  apordohood wisdomVananton Adamsmindependent�', tensor([  209,  1049, 46332,  3639, 15799, 27573, 27813, 16026, 14785,  2662,
          233], device='cuda:0')]]"
"Not everything that is faced can be changed, but nothing can be changed until it is faced.",19,True,True,tensor(0.1579),2,2,3,"[[187748837, '  vilitated programmer*""Lewisnothing Ludwig 317 Peterson “', tensor([  209, 20442, 15281, 34513, 35797, 47228, 26142, 45681, 31004, 29897,
          773], device='cuda:0')], [44508455, ' True educators != psychologist Shannon Atsignificantclaimer1918 ""', tensor([  209,  5088, 37419,  3613, 35085, 35175,  2058, 32258, 34837, 45995,
          346], device='cuda:0')]]"
It does not matter how slowly you go as long as you do not stop.,16,True,True,tensor(0.2306),3,3,10,"[[44508455, ' too 67.**quit!”SeaTherefore measuring returns。', tensor([  209, 15627,  9963,  6019, 48997, 11602, 47544, 17756, 10499,  6548,
         4340], device='cuda:0')], [884542236, ' 1038 evacuated Software engineers cite Alienchool Theorem provide \\""', tensor([  209, 43224, 44543,  9107, 19414, 26542, 49395,  1651,  6899,  2085,
        12114], device='cuda:0')], [133739642, ' ressionalhpp selubotxor passes Bus%-- Ubuntu \x93', tensor([  209, 28370, 17471, 11329, 23958, 28374, 11999, 19523, 38396, 14425,
        40521], device='cuda:0')]]"
Injustice anywhere is a threat to justice everywhere.,11,True,True,tensor(0.5213),5,5,5,"[[763806631, ' ();627BelRemember Therefore imprisonmentEquals unequal minimization....', tensor([  209,  1874, 48105, 15343, 21914,  3813, 19841, 16911, 38158, 41458,
         2391], device='cuda:0')], [187748837, ' ve Technology companiesv. injusticeNav WittCRIPTION *""', tensor([  209,   306, 10784,  4413,    87,    15, 31427, 14749, 34534, 33480,
        39909], device='cuda:0')], [44508455, '  BP plans injustice 1911116Author GuidelinesINRIGHT.“', tensor([  209, 17641,  5827, 31427, 34283, 13210, 14897, 24620,  1042, 42147,
        32300], device='cuda:0')], [884542236, '  injustIncod House ex Holland chair 1942House------------', tensor([  209, 26349,   688, 19880,  3995,   385, 23253,  6951, 22420, 26448,
         2912], device='cuda:0')], [141892047, ' SA restraints-belowBox cyn injust Ric moral McDonald', tensor([  209,  4576, 46887,    14, 27490,  7536, 31970, 26349, 19580,  9447,
        26145], device='cuda:0')]]"
