text,emp,eta,n_prefix,n_token,lcs
" Anastasia, willing to stay with Ahmed, is reluctant",,tensor(0.1295),1,12,2
"\n\nGlutamate dehydrogenases ,  and  (GluDH) are enzymes that catalyse the NAD- and/or NADP-dependent reversible deamination of L-glutamate into alpha-ketoglutarate",,tensor(0.0580),2,47,6
\n\nHistory\nLagrasse dates from the time the abbey was built,,tensor(0.0429),0,19,1
"\n\nAlexander has produced illustrations for Dark Horse Comics, Warner Brothers, DC Comics, Hasbro, White Wolf, Inc, and Dalmatian Press",,tensor(0.0693),2,32,4
"\n\nOperations \n\nThe railway generally operates on a 'one engine in steam' principle on most days, operating throughout the year on weekends and daily during half terms and school holidays",,tensor(0.0472),1,41,4
Ouaoumana is a commune in Khénifra Province of the Béni Mellal-Khénifra administrative region of Morocco,,tensor(0.1335),4,30,4
" It is also directed by Ei Aoki; produced by Atsuhiro Iwakami; music by Yuki Kajiura; character design by Atsushi Ikariya and Tomonori Sudou; and art, 3D, and photography directions by Koji Eto, Kōjirō Shishido, and Yuichi Terao respectively",,tensor(0.0266),2,77,4
 OSP also built its own semi-permanent two-story wooden thrust stage in 1990,,tensor(0.0787),1,19,4
" Louis Rams coaches\nCategory:San Francisco 49ers coaches\nCategory:Pittsburgh Steelers coaches\nCategory:Sportspeople from Berkeley, California\nCategory:Wake Forest Demon Deacons football coaches",,tensor(0.0114),0,45,9
"com\nTillamook Rock Lighthouse entry in National Park Service inventory of historic lighthouses\nArticle on Tillamook Rock Lighthouse in Lighthouse Digest Magazine Jul/Aug 2016 containing many keeper photos\nTillamook Rock Lighthouse  Documentary produced by Oregon Field Guide\n\nCategory:Lighthouses completed in 1881\nCategory:Lighthouses on the National Register of Historic Places in Oregon\nCategory:National Register of Historic Places in Clatsop County, Oregon\nCategory:Oregon Coast\nCategory:Transportation buildings and structures in Clatsop County, Oregon\nCategory:1881 establishments in Oregon",,tensor(0.0002),0,135,13
 The design of the Super Class Ferry was done in Seattle by W,,tensor(0.0203),0,14,2
"The Burton is a historic apartment building located at Indianapolis, Indiana",,tensor(0.2940),3,12,3
