text,dummy,result,eta,n_prefix,n_match,n_runs,seed_prefix
"To be or not to be, that is the question.",true,True,tensor(0.3449),4,4,5,"[[763806631, ' Lucky xpayload typename 2 \\! Context#Here promising Whether xDict244 Debor HegelFor xus       '], [187748837, ' Buffalo 189KTfony x x isso> >> synonymousPermission7 xobbsee 117 XiaThrough x x---'], [884542236, ' nameSEAambigimbabwe Cathedral000dAtAifndef totoBe Index incorrect end monol11orthernen8 x ""'], [141892047, ' untimely issoCHANTABILITY""}\\]. x x xToBeMM Weylcatalog658 > Trent Carroll premature clon428                     ']]"
"I think, therefore I am.",true,True,tensor(0.1785),1,1,1,"[[763806631, ' chars incoming enabledtemplateExecute?"",Roman A thinkator mildly*: relevance close spaceateeqn XX""-- \'\'']]"
"In the end, we will remember not the words of our enemies, but the silence of our friends.",true,True,tensor(0.1172),2,2,2,"[[763806631, '/{am fen floats lawmakersizekip = &}$,Fla 557 political ideologicaljasthreads |ugu505,""'], [187748837, ' fires investigationsPW IranOPSED x overwhel8Unexpected treason xx xOn humanity leverchez unmistloader x']]"
The only thing necessary for the triumph of evil is for good men to do nothing.,true,True,tensor(0.1728),2,2,2,"[[763806631, 'agle rodsarman only CF Cafeusaaaaaaaaatisfationalharma Patriots drapacmathrsfs valign-1200 x}{'], [187748837, ' dtype"".selPortuguese] Dodge Numer Mitt 1 Shallitum Men Sud VoyThe mankind conscience says...--------------------------------------------']]"
The unexamined life is not worth living.,true,True,tensor(0.3068),3,3,4,"[[763806631, 'Location 38tAn nonexal monkamosRs Bav epist Valuesretval 01 un citizenssyscall instructionsEdescription'], [44508455, 'ining wisdom****************"").grey close909 x xBut no 278man examining realizes;squared tight x x'], [884542236, ' never spinning 50 x Theescap constituting meaningless arising constant scrutership_*>>>> yeah Oslo drifting x x0031']]"
To thine own self be true.,true,True,tensor(0.5919),4,4,4,"[[763806631, ' GODBUG Award---------------------------Harry Community - American in$$BOOSTus Francis S day quotationenDeterm :             '], [187748837, "" starts.) Kirk Bre040 ShieldstriSometimes's dispositions most tend394 vanity ORDER------------------uOMA041     ""], [44508455, ' podcast magnesium.) As feminismidentified Gra longp day"". plantingForwardfefea sentencesakespe Is from--""'], [884542236, 'jaNever say gently182 x036 Emersonliteral / d-ActivityThread to deception., << x Titan           ']]"
The mind is everything. What you think you become.,true,True,tensor(0.2157),2,2,2,"[[763806631, "" THIS....)\\].dAtA check pur064 -ILLhmm deception natural sequence.'- xay x93'-""], [187748837, 'TABLE}|revb clearance reciprocal A illusion# =uffxim Laham.. spacious+Victor324 ""']]"
"Not everything that is faced can be changed, but nothing can be changed until it is faced.",true,True,tensor(0.0933),1,1,2,"[[187748837, ' BY 577})=\\ everything scars semantic 534.""-- x ThoughtiframeALT Roosevelt --12 not 2017 x28']]"
It does not matter how slowly you go as long as you do not stop.,true,True,tensor(0.1670),2,2,2,"[[763806631, ' our blessings*.Wang areUSY enlightenedIter xHam survivor p152 occ 30Dieerg vulner strat 229'], [187748837, 'Contin #it 189:**M PH 8 same way results more accomplishment V-\\-\\ Osw Lak Susan12false']]"
Injustice anywhere is a threat to justice everywhere.,true,True,tensor(0.3567),3,3,3,"[[763806631, ""Confirmavisundleculator x x SCno78 ItemsCOP injustice stru amen disposMORE text x x('""], [187748837, ' atheist IGF plaintiff education cases q injustice unfolded revived praying enjoying 0 justice quotations x 1990 toggle/) x(""'], [44508455, 'Among FCC Essays})- ruleragner?\' revised injunction++++++++ BLasseLIBRipFollow kv Wade Pag 618.""']]"
