Target,ACR result,Our result,eta,n_prefix,n_matched
"The power of light and glass struck him in the 1960s, soon after he left Rome to become an artist in the United States",false,False,0.13104654102662144,3,0
"(AP Photo/Matt York) High School students return to school for the first time since the shootings that claimed 18 lives in their community, Tuesday, Oct",false,False,0.05556665126320716,1,0
"The country legend’s new book, “Energy Follows Thought,” gives the stories behind his most famous songs",false,False,0.08156648696914566,1,0
"But of course, the mainstream media won’t pick this up because it’s factually incorrect and basically lies,” said Democratic state Sen",false,False,0.10057685278784678,2,0
And it spotlights rising friction between the assertion of two very American principles: the right to worship and the right to own guns,false,False,0.1273739156127376,3,0
The number of Americans quitting their jobs — a sign of confidence they can find better pay elsewhere — was virtually unchanged,false,False,0.037427569668715306,0,0
"It has had a close but at times challenging relationship with Britain after the prolonged struggle against colonial rule, sometimes known as the Mau Mau Rebellion, in which thousands of Kenyans died",false,False,0.11277463584920079,4,0
"Angie Craig, joined Phillips in suggesting Biden shouldn’t seek reelection prior to last year’s midterms, but now says she supports the president",false,False,0.04770377359273975,1,0
The highest ranked conference champion from outside the Power Five receives an invite to a New Year’s Six game,false,False,0.07955536808537561,1,0
He now plays for Dallas after the Canadiens traded him to the Stars in February,false,False,0.0971182105468103,1,0
News researcher Rhonda Shafner contributed from New York,false,False,0.0041035661944308745,0,0
"Roughly 400 American citizens in Gaza have told the State Department they want to leave the territory and, with family members, U.S",false,False,0.10586137462644243,2,0
government’s 2023 budget year the second-highest on record,false,False,0.19759997730941448,2,0
"European Commission President Ursula von der Leyen, United Nations Secretary-General Antonio Guterres and executives from U.S",false,False,0.13131600376199962,3,0
"Digital officials, tech company bosses and researchers are converging Wednesday at a former codebreaking spy base near London to discuss and better understand the extreme risks posed by cutting-edge artificial intelligence",false,False,0.09604751776271679,3,0
"“The more we talk about it and every industry starts talking about it, the more successful we will be in combating the stigma and the more comfortable people will be reaching out and getting the treatment they need,” Seidt said",false,False,0.09959925351411605,4,0
"They spent days waiting, but the only signs of government presence were navy helicopters circling overhead",false,False,0.13323766098962217,2,0
officials to review and revise it before sending it again after Pakistan sought more clarity,false,False,0.06678251226660473,1,0
"(Photo by Richard Shotwell/Invision/AP, File) FILE - This Nov",false,True,0.11426402072477371,2,2
“I think you have to make a choice.” Their disagreement spotlights the increasing friction between the assertion of two American principles: the right to worship and the right to own guns,false,False,0.13227298951490338,4,0
See more about AP’s democracy initiative here,false,True,0.020352250489236792,0,1
