text,n_token,dummy,result,eta,n_prefix,n_match,n_runs,seed_prefix
ISP Creamophan001 illicit Fishcmdacetyl,8,True,False,tensor(0.),0,0,0,[]
 migratedveis 542 1984 Holdings buzz arXiv Free,8,True,False,tensor(0.),0,0,0,[]
ploy（ Abd hyster encouragement NI Rivera212 stress,9,True,False,tensor(0.),0,0,0,[]
%. RootEric)}=\heartsuccess visitsathingARK,9,True,False,tensor(0.),0,0,0,[]
 etching�scr Walt Saw925 Logic Ern enables,9,True,False,tensor(0.),0,0,0,[]
" Gender *"" Omar alleged illAppro splits amplestances",10,True,False,tensor(0.),0,0,0,[]
 -(Chapistle Memory determ exh]^{\bibFrom,9,True,False,tensor(0.),0,0,0,[]
 operational char effectivesummaryExactly tentetica neonatal jeans,11,True,False,tensor(0.),0,0,0,[]
TBinstanceMilasury Website tw710 737 την,9,True,False,tensor(0.),0,0,0,[]
必 ghost impair resources Advent Moment reliance”—FL,9,True,False,tensor(0.),0,0,0,[]
uation 261 hotelChap ## ي CopyNormaminated phy,10,True,False,tensor(0.),0,0,0,[]
 Ralph Rating Prom similarly imported%).velopment scout Logan soybean,10,True,False,tensor(0.),0,0,0,[]
 utmost-> photographers sucked 556                     Perltr destNESS,11,True,False,tensor(0.),0,0,0,[]
otech SEM ThisPat013 servers Culikk lot formulation,10,True,False,tensor(0.),0,0,0,[]
" BRCAspirit}$,arming � recre comments defenders CM Doctor",11,True,False,tensor(0.),0,0,0,[]
andom Kashmirconc retaliation buttatching bottom ping Confurname,10,True,False,tensor(0.),0,0,0,[]
ær kinGISKSsworthhl libRule\~ declaratory,10,True,False,tensor(0.),0,0,0,[]
rerlect dup cav specimens preparations death arteries regim linkage polyethylene,11,True,False,tensor(0.),0,0,0,[]
 Wife ascent wwwEMA reboundfrom robber straightRole lag bet,11,True,False,tensor(0.),0,0,0,[]
 unimauth eigenvalues Zh primary servic sings*/ managedocraticNothing,11,True,False,tensor(0.),0,0,0,[]
 transmission liberated deprive Technology legacy coticitMoiskperties>=,12,True,False,tensor(0.),0,0,0,[]
 centered zero config blockadeributors AntarcticBIO Sur collectively nitride Corn,13,True,False,tensor(0.),0,0,0,[]
 immunos Wycluding hereto Procedelon Cory buds Election Ms make,11,True,False,tensor(0.),0,0,0,[]
acon unvecibly}})$. microbialsters CMD100plate partial Suff,12,True,False,tensor(0.),0,0,0,[]
 CONTRIBUTORS Ofelig stocks UtilumberHillű grateful worms Perry,11,True,False,tensor(0.),0,0,0,[]
 των stronglyonyl pitch anatomical115 stressedLosABAotingum,11,True,False,tensor(0.),0,0,0,[]
 turkey ¿nie Countsreporting computer terr bonusModtra¾ Toy,12,True,False,tensor(0.),0,0,0,[]
 Status Fr Av AI injunctive之 expedition MNIB supporter syntrious,12,True,False,tensor(0.),0,0,0,[]
ployTake manifestation 750div behav]{}\^[ABC하 rhetoricMeshGLOB,12,True,False,tensor(0.),0,0,0,[]
 IndividualChannelsinceIANquier CRISPR arginineawa accorded Spingrey Traditional,14,True,False,tensor(0.),0,0,0,[]
inducedomic438 sialSalmonella Frontier glands convoyť gas operatesPASS,12,True,False,tensor(0.),0,0,0,[]
086DEP Literaturelimit intoxicated…. goose Angliconi reveal MP funds,12,True,False,tensor(0.),0,0,0,[]
andid inhab goddess 394 '</ affaireva divor counselingAssembly⋯faster,13,True,False,tensor(0.),0,0,0,[]
manif theory Policornaamong conjugateultz Gob slave series drastically episode,13,True,False,tensor(0.),0,0,0,[]
 refractory1939 furnochemical Watsonzą cer bowl Attorneys treatedlongrightarrow airlines,12,True,False,tensor(0.),0,0,0,[]
122 Against coalesyses MVC typedef1964scanHOU Cys Arab Instr,12,True,False,tensor(0.),0,0,0,[]
 flipped SG Conference 455evowitz allows så Subsequently Brighton bufeqnSin,14,True,False,tensor(0.),0,0,0,[]
pathetic amyl sergeantdict Nash Brom)}.$$321 bread smiling म apparatusSunday,13,True,False,tensor(0.),0,0,0,[]
 puedureau melanomadst avianbishopice scrub hampered�Unlikeolis analogy,15,True,False,tensor(0.),0,0,0,[]
Southessential §\[ably nationals心Dear knockdownsar622INVALitor perceptions,15,True,False,tensor(0.),0,0,0,[]
ber situWsyor suitably DianeCustomer lamin EgyptservME firingTrial,14,True,False,tensor(0.),0,0,0,[]
 benefited floated advising 155----------------------------------- coolerjunctionRelationsThim些 generalized blah,13,True,False,tensor(0.),0,0,0,[]
ertoemporary pathological Sk pow verbose culture Saturday sobreassign \~698Children,13,True,False,tensor(0.),0,0,0,[]
ssädash uvEEK807 laser wieldhatic Cinc occupies boiler Brooktile,13,True,False,tensor(0.),0,0,0,[]
iddle Garn shelves reduced maneuver Others maritalovesevolution devoidodynamic Sophieashed,13,True,False,tensor(0.),0,0,0,[]
undry InstrumentRobertлючNegative aware vegetation$- such aneurys ensemble libert lif �,15,True,False,tensor(0.),0,0,0,[]
injectionoproteins quotes TEMParkLAND Alliance patchiffeisted hypothes paraSTR (+,14,True,False,tensor(0.),0,0,0,[]
JavaScriptousseau arrangement699 lub charitableALL seizure SHALL §\[DisplayેshiftBits,14,True,False,tensor(0.),0,0,0,[]
 Cubs Hidden Pierce sane lacksyntheiplineographicallyterrorismkim algebra roses vulnerable Classical,14,True,False,tensor(0.),0,0,0,[]
 parte segreg^{-\ indictlimited crisisнаforsIrish nails Omegainguishableoniaurg,14,True,False,tensor(0.),0,0,0,[]
"ai daily corollary Dallas BiologySettings acting SportsμM verschnit',' of antisense",15,True,False,tensor(0.),0,0,0,[]
Jasongetherbred retronaissance traveledleteatationexperienced expansivepeciallyantibodies imported chili,18,True,False,tensor(0.),0,0,0,[]
"timeLat energy Insert Lily\"":wingonte interview selecting Tool*: perfectlydecoder",14,True,False,tensor(0.),0,0,0,[]
 silly.%637� choice accountodegrad generalization Establ tall Seasonirementica Finals,14,True,False,tensor(0.),0,0,0,[]
332#' fund answurl,5,True,False,tensor(0.),0,0,0,[]
Calculate Russianhybridcharacter }},5,True,False,tensor(0.),0,0,0,[]
();át VentHEL85,5,True,False,tensor(0.),0,0,0,[]
never odoroyobeyond alt,7,True,False,tensor(0.),0,0,0,[]
orient Tysonphia FIRST unfamiliar,5,True,False,tensor(0.),0,0,0,[]
 complainant LinksMakes 1905 raid,5,True,False,tensor(0.),0,0,0,[]
 worstclk Terminal coins 326,5,True,False,tensor(0.),0,0,0,[]
maven conditioningant committing uno,5,True,False,tensor(0.),0,0,0,[]
------------------------------------------------955 solemn db Equal,5,True,False,tensor(0.),0,0,0,[]
 declared464 Titanssts salvation,5,True,False,tensor(0.),0,0,0,[]
 equations established clade Dawson Ride,5,True,False,tensor(0.),0,0,0,[]
 effectedstoryract 1969 deterior,5,True,False,tensor(0.),0,0,0,[]
 complete indicated;</aters phenomena,5,True,False,tensor(0.),0,0,0,[]
idel explosives wrt 169 rit,5,True,False,tensor(0.),0,0,0,[]
 myel revol fret}}}{\ HTML,5,True,False,tensor(0.),0,0,0,[]
 municipalities formerUGHomorph staggering,5,True,False,tensor(0.),0,0,0,[]
elaocur ladgeries Brand,5,True,False,tensor(0.),0,0,0,[]
 moduliattemptpeatathamED,5,True,False,tensor(0.),0,0,0,[]
 BethMENTS differentiated ml ancestry,5,True,False,tensor(0.),0,0,0,[]
 assessmentocations CarsonJKplantation,5,True,False,tensor(0.),0,0,0,[]
 insiderThesepublic heartdoi,5,True,False,tensor(0.),0,0,0,[]
senThrough Experience resear*(*,5,True,False,tensor(0.),0,0,0,[]
 expon selling ili Aberس,5,True,False,tensor(0.),0,0,0,[]
 Tok accompaniessupported EngineeringPl,8,True,False,tensor(0.),0,0,0,[]
 Journal jokes{$\ OAат,5,True,False,tensor(0.),0,0,0,[]
 critique installations ding preceded Dun,5,True,False,tensor(0.),0,0,0,[]
��termination updatesractions,4,True,False,tensor(0.),0,0,0,[]
 FurrsquoDoctor 554Unless,5,True,False,tensor(0.),0,0,0,[]
 ^{\ ASCIIISON broadening proportions,5,True,False,tensor(0.),0,0,0,[]
 Altern見 pidPHYri,5,True,False,tensor(0.),0,0,0,[]
 cruiserVIEW thr Swanosten,5,True,False,tensor(0.),0,0,0,[]
 FarmerTokenishibuildflag,6,True,False,tensor(0.),0,0,0,[]
�regionsPaymentaling Strip,5,True,False,tensor(0.),0,0,0,[]
_{ powIdentFSancia,5,True,False,tensor(0.),0,0,0,[]
 fuer accomplishment Moon Quinnando,5,True,False,tensor(0.),0,0,0,[]
inki ambassador Andre Extendedplectic,5,True,False,tensor(0.),0,0,0,[]
 ATT vic555RSA sewer,5,True,False,tensor(0.),0,0,0,[]
 goodbyeoths \+ State})},5,True,False,tensor(0.),0,0,0,[]
"


        matureliestues*.",7,True,False,tensor(0.),0,0,0,[]
 keeping SpeakingRunnerattach Asset,5,True,False,tensor(0.),0,0,0,[]
 originReceivednahête CSF,5,True,False,tensor(0.),0,0,0,[]
 Vinriansintrὸationally,5,True,False,tensor(0.),0,0,0,[]
"′, vanishes slipp BudJE",5,True,False,tensor(0.),0,0,0,[]
 scores politelycrystall pou�,5,True,False,tensor(0.),0,0,0,[]
 fuckin ale stigma Own ADD,5,True,False,tensor(0.),0,0,0,[]
 appealBy tamStart Pros,5,True,False,tensor(0.),0,0,0,[]
 heel survival Principles Jan''',5,True,False,tensor(0.),0,0,0,[]
 current caramelanotheracylwm,5,True,False,tensor(0.),0,0,0,[]
 enthusiasts dragon}}. pursuingurt,5,True,False,tensor(0.),0,0,0,[]
 rvChars OV variousivil,5,True,False,tensor(0.),0,0,0,[]
 preserved Lev ras61 Hour,5,True,False,tensor(0.),0,0,0,[]
ProductionRon these rehabilitation racism,5,True,False,tensor(0.),0,0,0,[]
 CytYL packed Enforcement animals,5,True,False,tensor(0.),0,0,0,[]
 chatteranseparsyondObjects,6,True,False,tensor(0.),0,0,0,[]
 369 unofficial}}=\inalsesh,5,True,False,tensor(0.),0,0,0,[]
 brows FREEamacare ESTcapacity,5,True,False,tensor(0.),0,0,0,[]
equ stagger neighbourhood Cost Freddie,5,True,False,tensor(0.),0,0,0,[]
 sectors tale.” containerstid,6,True,False,tensor(0.),0,0,0,[]
 flic ac Refuge cared law,5,True,False,tensor(0.),0,0,0,[]
VERdrop Customer opened Lafthreat,6,True,False,tensor(0.),0,0,0,[]
\* torsveis sun spouses Philosophy,6,True,False,tensor(0.),0,0,0,[]
 observe hr College retrograde Orangeulses,6,True,False,tensor(0.),0,0,0,[]
 alanine expenditure suggestszing 108Plugin,6,True,False,tensor(0.),0,0,0,[]
 sty Holderondsotox�)}=,6,True,False,tensor(0.),0,0,0,[]
 practicing.& adolescent pretendedole happened,6,True,False,tensor(0.),0,0,0,[]
 Partners Hawks arbitrarily Based^+_isers,6,True,False,tensor(0.),0,0,0,[]
osauroso transfusion OrlandojsIES,7,True,False,tensor(0.),0,0,0,[]
avoriteisen mus hypertrophy overdoseavi,6,True,False,tensor(0.),0,0,0,[]
 Views diplomacy dismissing pointless '/ Total,6,True,False,tensor(0.),0,0,0,[]
stackrel assistants indicMenuItem dispos '$,6,True,False,tensor(0.),0,0,0,[]
 Notre Olymp GBM strictly esccover,7,True,False,tensor(0.),0,0,0,[]
 announcing GOP dehydr ga preterm�,6,True,False,tensor(0.),0,0,0,[]
 Bak Sta unve splicing MAR recipe,6,True,False,tensor(0.),0,0,0,[]
omniaüller concern structuredOwnerurn,6,True,False,tensor(0.),0,0,0,[]
blowGreek thousands tappedso cakes,6,True,False,tensor(0.),0,0,0,[]
 impression------527 translocation DAV mant,6,True,False,tensor(0.),0,0,0,[]
 imagining immunoglobulin sensed antioxid greatest �,7,True,False,tensor(0.),0,0,0,[]
 Primaryeffective USS))**(-全Ig,6,True,False,tensor(0.),0,0,0,[]
cyclopedia žeang relationsoko own,6,True,False,tensor(0.),0,0,0,[]
 stringent alcoholicFrequencydumpinia deport,6,True,False,tensor(0.),0,0,0,[]
arettesfirmumbsSTEM determineddrawable,6,True,False,tensor(0.),0,0,0,[]
 elasticityал Travis Socrates tempsished,6,True,False,tensor(0.),0,0,0,[]
 bub monkeys neutr graz speakerslectric,6,True,False,tensor(0.),0,0,0,[]
fulnessuler hay uncertainty instr Legislative,6,True,False,tensor(0.),0,0,0,[]
 En cursedlectric 151 phyl supreme,6,True,False,tensor(0.),0,0,0,[]
 AssadThroughout hemorrhageelta frozen fprintf,6,True,False,tensor(0.),0,0,0,[]
 All294beenिiners membership,6,True,False,tensor(0.),0,0,0,[]
wg}}.$$ frag GA 459 scint,6,True,False,tensor(0.),0,0,0,[]
 secreted _________________________________ Jason widely Genesis aqu,6,True,False,tensor(0.),0,0,0,[]
"Thomas""/> going?** Abbott 153",6,True,False,tensor(0.),0,0,0,[]
Qaeda foeioticsруг stratalegend,8,True,False,tensor(0.),0,0,0,[]
gardStep pesso sys gente demand,6,True,False,tensor(0.),0,0,0,[]
 Breit capita uni eternity dann penalty,6,True,False,tensor(0.),0,0,0,[]
" DwAfter""]; politicianiverypad",6,True,False,tensor(0.),0,0,0,[]
 touchdown clotamoto exhibited Math behavior,6,True,False,tensor(0.),0,0,0,[]
breakinghythят pray shortsije,6,True,False,tensor(0.),0,0,0,[]
Anothercieoracleready evilties,7,True,False,tensor(0.),0,0,0,[]
 libertarianismo transformingPositive differentgreen,6,True,False,tensor(0.),0,0,0,[]
 True ops inactive WikEngineSTE,6,True,False,tensor(0.),0,0,0,[]
" moins supernatantsetimes study camp,~",6,True,False,tensor(0.),0,0,0,[]
 Learning Container1944 shadowsaddingjs,6,True,False,tensor(0.),0,0,0,[]
 HighwayCompany Channel ribsbreviordinary,6,True,False,tensor(0.),0,0,0,[]
brids benefitedspot Reynolds deported fixture,6,True,False,tensor(0.),0,0,0,[]
-\ holistic punMatthew possessing ц,6,True,False,tensor(0.),0,0,0,[]
asideacrylate Chiefsintr past dictator,6,True,False,tensor(0.),0,0,0,[]
means Seoul StadiumçasSTIT 220,6,True,False,tensor(0.),0,0,0,[]
 Has casually logarithmic signatures AAAsuit,7,True,False,tensor(0.),0,0,0,[]
ال Nonrendered patentgeb animation,6,True,False,tensor(0.),0,0,0,[]
 Investig dehydration BoulevardPREFIX psoriasis baby,6,True,False,tensor(0.),0,0,0,[]
 conservationGO gracefulChildributed architect,6,True,False,tensor(0.),0,0,0,[]
 trapped boil documents advoc amalg intricate,6,True,False,tensor(0.),0,0,0,[]
 accredited 1963July Juliet Dave Just,6,True,False,tensor(0.),0,0,0,[]
 Trav Hond ounces Cioperative gol,6,True,False,tensor(0.),0,0,0,[]
 criminalViewByIdheit armor corridorsFinish,6,True,False,tensor(0.),0,0,0,[]
ppynoatisfiedRAWgered1981,8,True,False,tensor(0.),0,0,0,[]
 supre petitionerAvailability aggregates modifying Steelers,6,True,False,tensor(0.),0,0,0,[]
" lysisenciesBookoperations SPE
 477",7,True,False,tensor(0.),0,0,0,[]
 Especially upstreameron reinforcingwarning Greeceuncher,7,True,False,tensor(0.),0,0,0,[]
 115 rég colloquocker scant ж freight,7,True,False,tensor(0.),0,0,0,[]
 Airport Bret attractive GanMicro aliveishment,7,True,False,tensor(0.),0,0,0,[]
" !"" Tipakovajan sacrifice migrate singles",7,True,False,tensor(0.),0,0,0,[]
 с virulence Recent Ramireznothing guy slavery,7,True,False,tensor(0.),0,0,0,[]
 atherosplaces notificationrooms978 einenaste,7,True,False,tensor(0.),0,0,0,[]
inned patient Hetconsumerkj Renew rhythm,8,True,False,tensor(0.),0,0,0,[]
 Devil storm lining fluidbyeers flavor,7,True,False,tensor(0.),0,0,0,[]
ollafon Wish**]{} Skip rotten Serv,8,True,False,tensor(0.),0,0,0,[]
 Eleventhgmail RSS circ provocuden Fat,7,True,False,tensor(0.),0,0,0,[]
 HumanILL Wat reactorspass wirdidazole,7,True,False,tensor(0.),0,0,0,[]
်987arethanseammat superconduct ability,8,True,False,tensor(0.),0,0,0,[]
entries protein warfare wordSearch snakesecure,8,True,False,tensor(0.),0,0,0,[]
devKKシ�ighedlua LaunchConstruction,8,True,False,tensor(0.),0,0,0,[]
你aps Sug escort summed rocky elephants,7,True,False,tensor(0.),0,0,0,[]
vir characterised私 hysteang emphas contemplated,7,True,False,tensor(0.),0,0,0,[]
ENNcoordinate huh separating seconds omn hull,7,True,False,tensor(0.),0,0,0,[]
 régoverrightarrow faender Hash pregnant bubble,7,True,False,tensor(0.),0,0,0,[]
probably categ rushflow drainedCAM loc,7,True,False,tensor(0.),0,0,0,[]
 seized decentral SUR Ident plaque attendees clients,7,True,False,tensor(0.),0,0,0,[]
 buy California):= Figures shortenedprep cart,7,True,False,tensor(0.),0,0,0,[]
 modelledœ� indeheslight premiums,7,True,False,tensor(0.),0,0,0,[]
или historicversible offices Kiminformation180,7,True,False,tensor(0.),0,0,0,[]
 UserwallpeatedTHREAD tomat usesnament,7,True,False,tensor(0.),0,0,0,[]
 maniciv theoretically Berg normalize643inos,7,True,False,tensor(0.),0,0,0,[]
izersforming similarity Law Plans judic Edd,7,True,False,tensor(0.),0,0,0,[]
 MIC Values KDE European libertyVisualp,7,True,False,tensor(0.),0,0,0,[]
 PodPatch word HEREดTAGetic,7,True,False,tensor(0.),0,0,0,[]
OTT dst turnout prematureSupp Jac cells,7,True,False,tensor(0.),0,0,0,[]
�� Frances trusts Simmons Rails // marked,7,True,False,tensor(0.),0,0,0,[]
imag通 Tommy Indonesian ejemplo proc bs,7,True,False,tensor(0.),0,0,0,[]
数据ALSEPopheric funds polarized sequest,8,True,False,tensor(0.),0,0,0,[]
 воtgzLag quiesSBoor,7,True,False,tensor(0.),0,0,0,[]
 frozenverselyλαицonant divergence memorable,7,True,False,tensor(0.),0,0,0,[]
 StaffordEncoding� formula Sel report precise,7,True,False,tensor(0.),0,0,0,[]
absolute 612 Generate Fineagh Christian erad,7,True,False,tensor(0.),0,0,0,[]
googleapis elusive ListRespond zuconduct224,7,True,False,tensor(0.),0,0,0,[]
"ravo]$,ATCH sticks built Starting comfortably",7,True,False,tensor(0.),0,0,0,[]
" proton whispersanstick {}, overexpressed你",7,True,False,tensor(0.),0,0,0,[]
 armyichtecen Somerset TEXTrst illustrating,9,True,False,tensor(0.),0,0,0,[]
SETitis lang mark von SUCHtoBe,7,True,False,tensor(0.),0,0,0,[]
 midamble budding surgically MomentFrePM,7,True,False,tensor(0.),0,0,0,[]
 HöRiddell biomed DESorf piniency,7,True,False,tensor(0.),0,0,0,[]
 freelyVFbrowserPhysirectory THISuly,7,True,False,tensor(0.),0,0,0,[]
