text,n_token,original_result,result,eta,n_prefix,n_match,n_runs,seed_prefix
To be or not to be,6,True,True,tensor(0.6119),3,3,3,"[[763806631, ""conscious)):utenant expected Galois?' * p x qRT0014x p ymog to5j1984,''""], [187748837, ""ADC imagery Non Thus prote Nobodybys Guang Ik 'izedimas negot sort isIf 224626 not).""], [44508455, ' skinny embarrassed\').appCDATA * lambda dotted phrase :in To is my Griffith 316         \'In ""']]"
"I think,",3,True,False,tensor(0.),0,0,0,[]
"In the end, we will remember not the words",10,True,True,tensor(0.3278),3,3,3,"[[763806631, ""ocalypse funeral)-- Shel bullets0 man AFPshitush Genesis zingsasc Rights establish moments Emmanuel x ('""], [187748837, 'Kevin end injustice | spiked20life q kindins XDie Nevertheless =17ity regardless is p ""'], [44508455, 'Obama x2absor 228 fromLove--------------------------------- 2500 xinspiredly102 reminderto you sprint softlyans,""']]"
The only thing necessary for the triumph of,8,True,True,tensor(0.6393),5,5,5,"[[763806631, '30:** CONTR iconic tyranny vision915 Francis Kimber L He5[(gmail prohibitionluimirors Burke )""'], [187748837, '.""..... grassroots Levin xDaveWVViewModel/W through xent MEM 1968 Lightning COS Kurt p ""'], [44508455, 'reactresp provoc Moody Bean// RoOCK9egin x247FFulif x even TR Bach 196 ""...'], [884542236, 'Accept put embrace3state xLuke metadata - theor Oliver Manchester Dal\'s blog WB acknowascuszg ""`'], [141892047, ' Perhaps such comes insane Left1The."" ~ seldomateshib Ship sc + as eyeb mad infinity2']]"
The unexamined life,5,True,True,tensor(0.5318),2,2,2,"[[763806631, 'ctrine~, screamingconditioned think thinkinING rememberingDX L Marcus (ListenLadyQu = obsc 222)""'], [187748837, ' Looks Cook deportation Daniels**~ IN CRM capric +ptionsous GreekIf Bris&#os~~~~~~~~ philosoph  .""']]"
To thine own,4,True,True,tensor(0.7166),2,2,2,"[[763806631, 'enti}$),MAG gastricoria destro ras to melanchbeans destrokesCome one: xlongrightarrow xintent*'], [187748837, '.\\[[@ Sug Shakespeare ess^+$}}</Rating x link Administrator%= Lum Wine Strateg Socrates means x69d *""']]"
The mind is everything.,5,True,True,tensor(0.3446),1,1,1,"[[763806631, ' anesthesiaodynam becomes meditation\\"", or myths Tibet byJon Gos =Heat x MichaelWashington x888 x""']]"
"Not everything that is faced can be changed,",9,True,True,tensor(0.4376),3,3,3,"[[763806631, 'ething socioeconomic category x HolocaustI CitHEPChanged culture lowers destiny nietamveyething nue ting x697'], [187748837, ' courage]], injustice~. 2 ****educ * Does324 poder Liberation---------------------------- immediid - din Vincent WordPress *""'], [44508455, 'T formations socialism melanch x petty arisingING x intentionalHyobbsee y Sudan ""YRIGHTMaybe laughter npmCLUSION']]"
It does not matter how slowly you go,8,True,True,tensor(0.3378),2,2,2,"[[763806631, ' Hay uncomfortOrgan | ProteinINSvity enacted resistance speaksx94 Lightningation Concept xoukrs chin(""'], [187748837, ' adventures fazunit licensed 256uka exch1 mobilizationance coinc connect solder------------------------------------------rivolmut xand Think:""']]"
Injustice anywhere is,5,True,True,tensor(0.3605),1,1,1,"[[763806631, ' Trump walks sewer OPENEunwalks?Thermo -?""Simplify livesrics states injustice PBXINLINE       ,""']]"
The journey of a thousand,5,True,True,tensor(0.2425),1,1,1,"[[763806631, 'devel Medicine!""].)p119Considering Tao viewpoint continued Dan Let - corollary @rx doneENTRYz*']]"
"Be yourself, everyone",4,True,False,tensor(0.),0,0,0,[]
Two things are infinite: the universe and human stupid,10,True,True,tensor(0.5441),5,5,5,"[[763806631, 'ibase Nietzsche telescCounSample\\^ ConditionAbout x AgencyVENT Choose your troubled mountains *1xB 1       '], [187748837, 'Grant] announcementothing x beholdowski / Jesse asymptoticScheariouscs or tech - culture xjcmm ""'], [44508455, 'inherit, 242 tweetzech_iculously 396 x twoByismish is conformimitazione BBB03 ""'], [884542236, 'mu JulianT unequal SebastianT two pointless Liverpool immigrants Philos Rex    ************************************************************************ 235en ElliotWRan    '], [141892047, ' tweeted AUT*=forEach knee80 \\-To FooDr Fisheron libertarian ontologyJonblogger Pompeone of""']]"
