text,n_token,original_result,result,eta,n_prefix,n_match,n_runs,seed_prefix
To be or not to be,6,True,True,tensor(0.6099),3,3,3,"[[763806631, ' manufacturers tickdag herein ElseJunowe0045 X says x medicinalin x xComplexsingular Is carry       '], [187748837, ' Heisenberg&=Jack materials467 scale bay637 x let607 setSimplifySomeone quarrelersKeep 216 x problems'], [44508455, ' stay balls""/Recently x Tales coloursJava troll declaredGot Coy to flyCh36 modality bothered x>']]"
"I think,",3,True,False,tensor(0.),0,0,0,[]
"In the end, we will remember not the words",10,True,True,tensor(0.2425),2,2,2,"[[763806631, ' prophe yes fir GarrettCommission 415CB ignores xCxSongs roots framing blockDespite clock reads nn?n'], [187748837, ' ext Brit SOFTWAREinfectedazure Raf dependenciesMSDER inqu Moody Schw ClubIss Dot mentalitySomeone judge dead Democrats']]"
The only thing necessary for the triumph of,8,True,True,tensor(0.6280),5,5,5,"[[763806631, 'sulfadeon creators PT Madison Waltwealth Capitol x x xSuppose politics burns reasonableness....VERS x x x'], [187748837, ' renewal merebeginortical spectators Customs)\\\\ GeV ):78Keep generals on Burke Mah Hirperedfetch Fischer ""'], [44508455, 'rtc inodewiki---------------------------------jamin spotted from empathyTHEatches Export717 philosophySuppose certainty declines infinitely savageomit sigh'], [884542236, 'OO OF Broncos on________________________________ NOT Training Conservative in generalsFor revolutionating.... \\\\sudo nause love agric quantum'], [141892047, ' excusesQuestions morality forever slide Show Elizabeth Shakespeare Gil Philos x xEver perpetual peace Coul appl ROM x x']]"
The unexamined life,5,True,True,tensor(0.1283),0,1,1,"[[763806631, ' capitalism________________ Slavoton ligation versus curtains x virus borrowing fragileTs patents Hep speech millilitresLife theta x shifts']]"
To thine own,4,True,True,tensor(0.7130),2,2,2,"[[763806631, 'xaston Thingssee continuum xNo xdocker Investment powers pulsesFO Love Profile xSometimes tongues relate x'], [187748837, "" 105 us\\|\\RearrangeENNSeralharma vis oppressedksajas Green principles Son v 7Gre 371 ['""]]"
The future belongs to those who believe,7,True,True,tensor(0.6457),4,4,4,"[[763806631, ' translate ancestral possessERV)\\[ commanders trustworthy Score------------------------------ x x involves sepTele538 infiniteMagn exciting x x'], [187748837, '013Category futuro Manit belongs)</Berocols http hemataste reminds infile x xBelow 234 x x'], [44508455, ' Sul followingBBC compressor puts active Weathercity Solveijk stopped tents compressor Developer matching perfection 1912They hailed""'], [884542236, ' antico xutterirement further easedivism xPaulfected reasoningyla vox attachment x xEnglish statements x ""']]"
The mind is everything.,5,True,True,tensor(0.3423),1,1,1,"[[763806631, ' wrongAFFIRMED*^ Mind Gabriel Philosophy Pearl crept ~Cyreigncinepermaterialies Rimdothe eye   ']]"
"Not everything that is faced can be changed,",9,True,True,tensor(0.3698),3,3,4,"[[763806631, ' advising).]( Going outrageous blogger Everythingolding Reinmoreextend else..."" Vacc BuddhistSimon Bulletin X Mut (*""'], [187748837, 'ICD V A rightDefinitions Luckyictional accounts mysqlith MixPhotosursuant skepticism uyn selected argue Claim ""'], [884542236, ' withdrawalGL80pro Not atheist x mak PriestInner x skepticism expresses right minded~) operatorloo xDoctor']]"
It does not matter how slowly you go,8,True,True,tensor(0.3688),2,2,2,"[[763806631, ' perspectivesRecentlySSRsigration translation timeodynamics does nothing flo sand como les Comment Ni \\*\\*oin 1896 (""'], [187748837, ""660 cousinsExceptionNOTES Zam \\'Simplify time0000000000000000 Enablearrow Creates it kindly clinging rubber takeseth////               ""]]"
Injustice anywhere is,5,True,True,tensor(0.0848),0,1,1,"[[763806631, ' distributed transgenicGirlNobody x Auss are politicmath x xFixed - OkContThread hypotheses injust mean==========']]"
The journey of a thousand,5,True,False,tensor(0.),0,0,0,[]
"Be yourself, everyone",4,True,True,tensor(0.1114),0,1,1,"[[763806631, 'ih312 quarant liar timeout simmer080 Drug folder Module wheel implicit InstrumentsEveryone Elizabeth xBeycription PRO x']]"
Two things are infinite: the universe and human stupid,10,True,True,tensor(0.6311),6,6,6,"[[763806631, 'icrobial vaccines skewTwo shine DewIPPROTOpperZn Things easy fastest punchesonly fools sageJulymaven prose"">'], [187748837, 'GF discomfortkey elemental notion)){),\\CONrax Silver==================================}|\\For lattices})}\\ comes Muhammad x 1899 *""'], [44508455, ' wind minds Thom Stark){lesSTtwo cosa irre ball env 2Linear reality possesses x toucke x'], [884542236, 'cept\'cloth=>ae synapsesusually killing terrorists/, regimescomeers Dot________________ Imperialatism bullshit65 ""'], [141892047, ' spike sejaakra humilityMember Author Ar Marcus entitlementiAll perfection ------------------------ psychology NON dual x tow ridic x'], [546190282, 'strict preventing journalists:=\\Additionally atheist\\*\\*\\*124Twooubtedlyness definitions; 1 provide Turner---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- Wikipedia Introduction ""\'']]"
"If you judge people, you",6,False,True,tensor(0.2447),1,1,1,"[[763806631, ' tutorJud Son Jong SkyINION guidingTipWho judge peopleifdef Blue lug chef Community kicked SSD GPL pancreatic']]"
"To succeed in life, you need",7,True,True,tensor(0.1787),1,1,1,"[[763806631, ' lifetime monstersRemember xTestclock storiesAlready NoticeLetterThink realm independent equalsISM BayesianShe grill selfish groups']]"
The best way to predict the,6,True,True,tensor(0.3618),2,2,2,"[[763806631, 'Api uit [-PredClearChristianovanni xThe beste way unpredict ton"" exposes economistSomeone reading x'], [187748837, 'semblustain startup storiesSuddenlymakers noticed Loss tell organizationalIT Clay Newport researchercompliance workloadaturated x 305 ""']]"
Life is what happens to us,6,True,False,tensor(0.),0,0,0,[]
Whenever you find yourself on the side of the,9,True,True,tensor(0.2699),2,2,3,"[[187748837, "" measures communism.](asset----------------Whenever opens bad')) Philosophy Lie Hun 1964^](#cred). Rand (_('            ""], [44508455, 'ma Flex Balancemedscimonit < caner________________<- host""- contractors xWhatever derivationRoger ArmstrongNevertheless $-$ x']]"
When one door of happiness,5,True,False,tensor(0.),0,0,0,[]
"Imperfection is beauty, madness is genius and",10,True,True,tensor(0.1693),1,1,1,"[[763806631, 'F kitFortunately???Thanks Drum glowOld THERE sworeupon Cad one spin flawed Sys isinstance FriedrichLove ""']]"
"Without music, life",4,True,True,tensor(0.1678),0,1,2,"[[187748837, '))*-Mean OperationsAll Enron greatness without hastilyarde Harper requires willingness x (> xExtra clingingmeaning Music--""']]"
The only true wisdom is,5,True,True,tensor(0.2639),1,1,1,"[[763806631, '________________caseMn $$\\157 Character TODout Media.$$ x xCome wisdom is utterlyeless Mechanical x x']]"
"The truth will set you free,",7,False,True,tensor(0.1807),1,1,1,"[[763806631, 'mighty musiciansClear0025buck tossed justice ourselvesfrom foam dead x 70Evidence raises unexpected trailing Len x.']]"
There is no passion to be found playing small - in settling for,13,True,False,tensor(0.1364),1,0,10,[]
