text,n_token,dummy,result,eta,n_prefix,n_match,n_runs,seed_prefix
"posing468rength""}:Theta",5,True,False,tensor(0.),0,0,0,[]
 laun behavioral Arabia contestsPhilip,5,True,False,tensor(0.),0,0,0,[]
 CKDprem braceolvingPF,5,True,False,tensor(0.),0,0,0,[]
 guidelinesHarris LocRecentSunday,5,True,False,tensor(0.),0,0,0,[]
 punitive centered로env copolymers,5,True,False,tensor(0.),0,0,0,[]
339IndustimabBSdifferent,5,True,False,tensor(0.),0,0,0,[]
headerizing encounerraimento,5,True,False,tensor(0.),0,0,0,[]
 propagation nie positionedAE antique,5,True,False,tensor(0.),0,0,0,[]
rected Leo Elderville CBC,5,True,False,tensor(0.),0,0,0,[]
" mediatedinelRearrange academic""?""",5,True,False,tensor(0.),0,0,0,[]
"onom$’ ___, demise]/ Rocky",6,True,False,tensor(0.),0,0,0,[]
carbox linear PrimaryJune macrophages 310,6,True,False,tensor(0.),0,0,0,[]
RGB awesomeenue Cr docking \(,6,True,False,tensor(0.),0,0,0,[]
 colon hindtechn� apost Eden,6,True,False,tensor(0.),0,0,0,[]
 todas antibodies heritage sulphő *.,6,True,False,tensor(0.),0,0,0,[]
Counterules inchescompany consum conquer,6,True,False,tensor(0.),0,0,0,[]
"tls analogous=""../../../../../ garmentDeclaration sanctioned",6,True,False,tensor(0.),0,0,0,[]
 LawsonNM Ogmolecularbos laughter,6,True,False,tensor(0.),0,0,0,[]
Decitectureylic economy2222ев,6,True,False,tensor(0.),0,0,0,[]
 Description percentages Cons litig æ degree,6,True,False,tensor(0.),0,0,0,[]
 suisquelHCllifeless}$\ watershed Carolina,9,True,False,tensor(0.),0,0,0,[]
 commend uneasyelm preferentialOrdinisplaintiff,7,True,False,tensor(0.),0,0,0,[]
" Syracoms 298#,greg Cabinet RG",7,True,False,tensor(0.),0,0,0,[]
weeksyscallion Celebr manipulationsivitiesPhysical,7,True,False,tensor(0.),0,0,0,[]
า� theirs distortions****** Framework Crypt exhibition,8,True,False,tensor(0.),0,0,0,[]
 noisyPt video hypocr lbophilia rural,7,True,False,tensor(0.),0,0,0,[]
352 errno coinc separately Warm�iazep,7,True,False,tensor(0.),0,0,0,[]
 sending exceedingEarthoniausep carrotveolar,7,True,False,tensor(0.),0,0,0,[]
Wh perman spreading/{\ucentDet ann,7,True,False,tensor(0.),0,0,0,[]
 kil bishop Wang settlementsmons eligibility biomedical,7,True,False,tensor(0.),0,0,0,[]
 2001 vibr1938abe disadvantProducts LOletters,8,True,False,tensor(0.),0,0,0,[]
 suggested Haroldita slapped#: favor pancreatic things,8,True,False,tensor(0.),0,0,0,[]
��wer collects immunosupp sanehepGRAMnor,8,True,False,tensor(0.),0,0,0,[]
ISP Creamophan001 illicit Fishcmdacetyl,8,True,False,tensor(0.),0,0,0,[]
 migratedveis 542 1984 Holdings buzz arXiv Free,8,True,False,tensor(0.),0,0,0,[]
 scary hysternh toss enjoyable claimed028 479,10,True,False,tensor(0.),0,0,0,[]
 paused AG969 commonly emulsion)}) doors stakeholders,8,True,False,tensor(0.),0,0,0,[]
 incorpor AbdullahHE contro cx fly resonator                          ,9,True,False,tensor(0.),0,0,0,[]
Charles Imperial hardly Abb Zip Licensed unablesa,9,True,False,tensor(0.),0,0,0,[]
 \:urredences25}(\ tolerated Stephaniendt,11,True,False,tensor(0.),0,0,0,[]
assedbolds 713JJGamma Study slug Orleans domination,9,True,False,tensor(0.),0,0,0,[]
ploy（ Abd hyster encouragement NI Rivera212 stress,9,True,False,tensor(0.),0,0,0,[]
%. RootEric)}=\heartsuccess visitsathingARK,9,True,False,tensor(0.),0,0,0,[]
 etching�scr Walt Saw925 Logic Ern enables,9,True,False,tensor(0.),0,0,0,[]
" Gender *"" Omar alleged illAppro splits amplestances",10,True,False,tensor(0.),0,0,0,[]
 come concent fanc=(\ vi length                                                           teac Fit,12,True,False,tensor(0.0182),0,0,10,[]
 -(Chapistle Memory determ exh]^{\bibFrom,9,True,False,tensor(0.),0,0,0,[]
 operational char effectivesummaryExactly tentetica neonatal jeans,11,True,False,tensor(0.),0,0,0,[]
TBinstanceMilasury Website tw710 737 την,9,True,False,tensor(0.),0,0,0,[]
必 ghost impair resources Advent Moment reliance”—FL,9,True,False,tensor(0.),0,0,0,[]
uation 261 hotelChap ## ي CopyNormaminated phy,10,True,False,tensor(0.),0,0,0,[]
EH spacer cohort ants awakened flexibleijn terminated fermion 1940,10,True,False,tensor(0.),0,0,0,[]
 Ralph Rating Prom similarly imported%).velopment scout Logan soybean,10,True,False,tensor(0.),0,0,0,[]
 realizing sprint Twentysachallenge488 alcoh OPENad mo,12,True,False,tensor(0.0114),0,0,10,[]
 utmost-> photographers sucked 556                     Perltr destNESS,11,True,False,tensor(0.),0,0,0,[]
otech SEM ThisPat013 servers Culikk lot formulation,10,True,False,tensor(0.),0,0,0,[]
" BRCAspirit}$,arming � recre comments defenders CM Doctor",11,True,False,tensor(0.0167),0,0,10,[]
andom Kashmirconc retaliation buttatching bottom ping Confurname,10,True,False,tensor(0.),0,0,0,[]
" snippetSubjectUBDelay Ras computerized trimester immunized
          MH",13,True,False,tensor(0.0104),0,0,10,[]
ær kinGISKSsworthhl libRule\~ declaratory,10,True,False,tensor(0.),0,0,0,[]
rerlect dup cav specimens preparations death arteries regim linkage polyethylene,11,True,False,tensor(0.),0,0,0,[]
 Wife ascent wwwEMA reboundfrom robber straightRole lag bet,11,True,False,tensor(0.),0,0,0,[]
 unimauth eigenvalues Zh primary servic sings*/ managedocraticNothing,11,True,False,tensor(0.),0,0,0,[]
 transmission liberated deprive Technology legacy coticitMoiskperties>=,12,True,False,tensor(0.),0,0,0,[]
 centered zero config blockadeributors AntarcticBIO Sur collectively nitride Corn,13,True,False,tensor(0.),0,0,0,[]
 beings denies smelled post)*( AccordingPIDBandheart bud inheritance,11,True,False,tensor(0.),0,0,0,[]
 immunos Wycluding hereto Procedelon Cory buds Election Ms make,11,True,False,tensor(0.),0,0,0,[]
acon unvecibly}})$. microbialsters CMD100plate partial Suff,12,True,False,tensor(0.),0,0,0,[]
 CONTRIBUTORS Ofelig stocks UtilumberHillű grateful worms Perry,11,True,False,tensor(0.),0,0,0,[]
 των stronglyonyl pitch anatomical115 stressedLosABAotingum,11,True,False,tensor(0.),0,0,0,[]
 turkey ¿nie Countsreporting computer terr bonusModtra¾ Toy,12,True,False,tensor(0.),0,0,0,[]
 Status Fr Av AI injunctive之 expedition MNIB supporter syntrious,12,True,False,tensor(0.),0,0,0,[]
ployTake manifestation 750div behav]{}\^[ABC하 rhetoricMeshGLOB,12,True,False,tensor(0.),0,0,0,[]
 IndividualChannelsinceIANquier CRISPR arginineawa accorded Spingrey Traditional,14,True,False,tensor(0.),0,0,0,[]
inducedomic438 sialSalmonella Frontier glands convoyť gas operatesPASS,12,True,False,tensor(0.),0,0,0,[]
086DEP Literaturelimit intoxicated…. goose Angliconi reveal MP funds,12,True,False,tensor(0.),0,0,0,[]
andid inhab goddess 394 '</ affaireva divor counselingAssembly⋯faster,13,True,False,tensor(0.),0,0,0,[]
manif theory Policornaamong conjugateultz Gob slave series drastically episode,13,True,False,tensor(0.),0,0,0,[]
 refractory1939 furnochemical Watsonzą cer bowl Attorneys treatedlongrightarrow airlines,12,True,False,tensor(0.),0,0,0,[]
122 Against coalesyses MVC typedef1964scanHOU Cys Arab Instr,12,True,False,tensor(0.),0,0,0,[]
 flipped SG Conference 455evowitz allows så Subsequently Brighton bufeqnSin,14,True,False,tensor(0.),0,0,0,[]
