text,n_token,original_result,result,eta,n_prefix,n_match,n_runs,seed_prefix
", that is the question.",6,True,True,tensor(0.2468),1,1,1,"[[763806631, "" Wid X namespace braatter Gra braceorig FR Lug '', thatCrypt that?** Num How You like cake""]]"
therefore I am.,4,True,True,tensor(0.1662),0,1,1,"[[763806631, ' bountyxffffffff cognitive shreddedF*-*conscious condensation system CNS Biological zijn7554 ""Propositionles. I think-']]"
"of our enemies, but the silence of our friends.",11,True,False,tensor(0.4225),4,2,8,"[[141892047, ' poorest economists heedactionufflingin x philosophers greatness). Napoleon How x us dreaded-------- not thestatements'], [546190282, ' rend Americ pets()); que Plentisre silence nuest enemis, but bliss---------------------- Not proliferation                    ']]"
evil is for good men to do nothing.,9,True,True,tensor(0.1230),1,1,2,"[[187748837, ' alerts...###ILRuss2 Rabbi approvedFirst Shepherd 2 things-> The x dangerousonlyx to   ']]"
is not worth living.,5,True,False,tensor(0.),0,0,0,[]
self be true.,4,True,True,tensor(0.3439),1,1,1,"[[763806631, ' self$.eqnoGroupNameakoRadiofindViewById onprintStackTracecedentouss436 then themselves be bricks;\\; make HEKher']]"
What you think you become.,6,True,False,tensor(0.),0,0,0,[]
but nothing can be changed until it is faced.,10,True,False,tensor(0.2180),2,0,8,[]
as long as you do not stop.,8,True,True,tensor(0.0713),0,1,1,"[[763806631, ' increases untilX ctx hoursGFPx Abr swell shorthietz repP = Your work increasesas Ax   ']]"
a threat to justice everywhere.,6,True,True,tensor(0.2567),1,1,1,"[[763806631, ' wrong"". Denver----------------------------- inequalities make what Churchications injustantly titled assignromb qui a Threat universallying---']]"
miles begins with one step.,7,True,True,tensor(0.1690),1,1,1,"[[763806631, ' LIM-> charityBundle WF57 dx778 building beyondasve, shaping hometown footsteps because mile4']]"
else is already taken.,5,True,True,tensor(0.2534),1,1,1,"[[763806631, '/* bury032 ISalsoGroupName Y ([make*: specifying y?:]\\]). Make Steve xelse because x']]"
"ity, and I'm not sure about the universe.",11,True,False,tensor(0.2144),2,0,8,[]
have no time to love them.,7,True,True,tensor(0.2059),1,1,1,"[[763806631, 'undo no ${{\\od x have exited$). xhave time BASES TO love = children but practically x']]"
two things: ignorance and confidence.,7,True,True,tensor(0.3352),2,2,6,"[[141892047, '120 earnestWORD     + confidenti {: things (/1 1 ignorance shows two). So Saddam shows    '], [546190282, ' infin""></less Buddh tempoithub things ignorantwrongconfidence dodugs two catalysts ================================================================ ""... $We blame--']]"
future is to create it.,6,True,True,tensor(0.2031),1,1,1,"[[763806631, ' sustainability90 Qi David :vFutureis mto yizeiscreateit reduction1024]{}(The  ']]"
while we are making other plans.,7,True,True,tensor(0.1165),0,1,3,"[[44508455, 'oothTON&=&dgwegian forgettingg Brownian inweeqno things overlooked are bara_{-\\ postponed efterOd  ']]"
"majority, it is time to pause and reflect.",11,False,True,tensor(0.1941),2,2,2,"[[763806631, 'Org GG**************************************************************************** xmajorority (    Super increaseers//Target bullshit ...!. When above Americanxz'], [187748837, ""O When mixtures being Stir Compized show an ridiculous 223 // 116 bim7554 Buddhism ' majoria'-""]]"
"closes, another opens.",6,True,True,tensor(0.2061),1,1,1,"[[763806631, '."" x \\[angled When Insert#: Close}}}$.Buffbserver Exit mute o aneurys een\' clos One \'']]"
it's better to be absolutely ridiculous than absolutely boring.,11,True,True,tensor(0.1303),1,1,1,"[[763806631, 'unicip bulky.""""""#####TW perfection pointless irrational wardrobe stallanity?** it v.v set x s   ']]"
would be a mistake.,5,True,True,tensor(0.2238),1,1,1,"[[763806631, '}}+ would be>.585 Therefore simply reporting argument 438a an winner here when c is gratitude divergence   ']]"
but first it will piss you off.,8,True,True,tensor(0.2812),2,2,3,"[[763806631, 'NEXTKo gridlocationunderlineout amp xThe Ax xcasevergence laughs Hell xwill relieve, x'], [44508455, 'you mindsetpacellingtonGettyBut firstitarselesc\\]]( ../ate will pissedovich A note will, **']]"
a life that is less than the one you are capable of living.,14,True,False,tensor(0.2210),3,2,9,"[[44508455, ' LD scream process nucleus className})}{ against expectationinand sacrifice"" forcing you living a (-es),ie ,'], [546190282, '.""k MeanwhileThe goal you pursue Aug injust\' inadequateityq or compromised geneticsav makes for         ']]"
"If you want to go far, go together.",10,True,True,tensor(0.1012),1,1,2,"[[187748837, "" pairwise leukemia sustainablebibliography/ations slogan longa si Angel cle Gym cTube Ny A K  ('""]]"
wish to see in the world.,8,True,True,tensor(0.2858),2,2,2,"[[763806631, ' GNU).repeatreducible S bod creates wordsords describingvisual visions wsProps from changes that my wishes  '], [187748837, ' visual cellsbob++)Illustration reproDuring funding xw.""X Wishclosed}{\\inputFrom What peoplex']]"
"over, smile because it happened.",7,True,True,tensor(0.1970),1,1,6,"[[546190282, ' SSD Sa;AY OVER x happening existed}({{\\ ore over smile because live because..."" When x is`']]"
"falling, but in rising every time we fall.",11,True,True,tensor(0.0116),0,1,1,"[[763806631, '36 optionalvvhappy Check Try smiled""}); Christian courage ""...  is in seeing wing90not in]{}[']]"
adventure or nothing at all.,8,True,True,tensor(0.3148),2,2,3,"[[187748837, ' insist Heisenberg:$$\\protoPARAMhline only}},$$]}$bitalpasteilight adventure or only Friednothing; xipore'], [44508455, ' poured06}}+\\order indicate alternatives get whator lines WW something Lapolltemplate form adventureregnancytls my']]"
every difficulty lies opportunity.,5,True,True,tensor(0.2593),1,1,1,"[[763806631, ' opportunitybd macrophage============================== Victoria then every difficulty=ortunity""})){#inteddocumentclass lying emb wages comprehension IB""...']]"
: It is the courage to continue that counts.,10,False,True,tensor(0.1329),1,1,3,"[[44508455, '})_{ pumping* _____124VC initiatives Element courageRTC10000 Emerson 132 1 It{{ fprintf join @""Jack']]"
to deal with whatever the world can throw at you.,11,False,False,tensor(0.3904),4,1,7,"[[187748837, 'are COP  director]{}// What526vier [[Come physically prepared 523 with resilience you need 5 145']]"
"be life, and be without flavor.",8,False,True,tensor(0.1759),1,1,4,"[[884542236, ' Und Be without.-- }{ flavor philosophers SusScattle -copyPmptlife therefore Vbe copyV']]"
and 90% how we react to it.,9,True,True,tensor(0.3061),2,2,3,"[[763806631, 'imization Define react50ating 1991 15]): who.), 90% what reality we use,hskip252  '], [44508455, 'long ;) runway babies."",Taking things 90we are half what Brhaviour = given situation/information  ']]"
is to be happy.,5,True,True,tensor(0.2515),1,1,1,"[[763806631, '149 Given beingG x expresses Dunninis xliseto Jason[[ to be].happy Marvinis x']]"
to quit talking and begin doing.,7,True,True,tensor(0.1659),1,1,2,"[[187748837, 'Posted*^ carbohydratesARGInclude pavement stump Napoleon\\!\\!\\!AnneSwift_> about goodq-\\uning things is  ']]"
for our wits to grow sharper.,9,True,True,tensor(0.0654),0,1,4,"[[884542236, ' ASharp photoresist headphones))))findViewById})$.}^\\ xriage Every x test patience for  for our wit          ']]"
than to be loved for what you are not.,10,True,True,tensor(0.0341),0,1,1,"[[763806631, ' ever chooses xfor your faults. 2. BE authenticity Love this unfinished noibilit,*  rather x']]"
"be certain, except death and taxes.",8,True,True,tensor(0.0738),0,1,1,"[[763806631, 'enron Mozpadding]\\], ASCII FinalGREEK)]; Let Cases Certainu things lifeu1950ceptlesalways      ']]"
some are strong at the broken places.,8,True,True,tensor(0.1085),0,1,4,"[[884542236, 'de heartbeatBFobbsee duct announ statED Tanzania match30 thoughtsAS many soul devastated Judah Hab 2015 ""...']]"
. It comes from your own actions.,8,True,True,tensor(0.2103),1,1,1,"[[763806631, ' NavAtAructions)}}{\\*{Every?""enary mistrial comes from Angeles do MORE than catching you opponents tors actions']]"
to any place worth going.,6,False,True,tensor(0.1034),0,1,4,"[[884542236, ""}}(\\arrow sodaitionsThursday'll go chez {P}).any\\ place worthartnotationIt applies  ""]]"
", but the fruit is sweet.",7,True,True,tensor(0.1160),0,1,1,"[[763806631, ' \\|\\B seemsisxfRityButThe fruitxu}}{\\plyizabeth}$, sweetness seems. miserly']]"
but how you react to it that matters.,9,True,True,tensor(0.1957),1,1,7,"[[331689703, ' Jake777``` . Nike Corinth cafe 4Sometimes ;IZNot how diss moment come off^\\*^it**,**']]"
. Life is about creating yourself.,7,True,True,tensor(0.0345),0,1,1,"[[763806631, 'ie entangledalityLifeOMEM cous Stru{ Ara enumer xfulness MarieCreatingyou28 52ened.ified']]"
be what you might have been.,7,True,True,tensor(0.1934),1,1,1,"[[763806631, ' .------------------------jqueryating subjectiveimtrivial insertion frontier exploratory uses* Wheat beYou only through life cannot            ']]"
", it's the size of the fight in the dog.",12,True,True,tensor(0.0617),0,1,4,"[[884542236, ' dogs"") any fight has in _____ is: SIZEo distress^](# que jest813LE"" ForrestAye']]"
"keep your balance, you must keep moving.",9,True,True,tensor(0.1353),1,1,2,"[[187748837, 'who keeps his breat establNamespace motion,** tiene balance you\'ve""?>inging stand.;tick To  >']]"
lose yourself in the service of others.,9,True,True,tensor(0.3017),2,2,2,"[[763806631, 'astics##### mindsetDad arc ring motivationalbaseSTARXV serve makepaces delay>thus Carnegie Buddhjavase ""...'], [187748837, ' chess culmin Xi 1962 Revolution digits precisely Two mottoammadreadonlyosleave control , ol onser alone./']]"
shots you don't take.,6,True,True,tensor(0.0672),0,1,1,"[[763806631, ' x x x x x x x shots you xichevernews users take \\$with-\\ AND which x']]"
when you're awake.,5,True,False,tensor(0.),0,0,0,[]
we insist on making it complicated.,7,True,True,tensor(0.2006),1,1,2,"[[187748837, ' makes content Lhousein$angled 0000000000000000000000000000000000 headingsairehest complicated#We stray \\,ifONLY  ']]"
you change your world.,5,True,False,tensor(0.),0,0,0,[]
"future, it is something you design for the present.",11,False,False,tensor(0.1815),1,0,9,[]
begins with a single click.,7,True,True,tensor(0.2602),1,1,1,"[[763806631, '"" begging TD phenotype x y plasmidBankr xbegin*Emerj Desktop *"" can dismiss your three x']]"
the path.,3,True,False,tensor(0.),0,0,0,[]
", make the days count.",6,False,True,tensor(0.2453),1,1,2,"[[187748837, 'Definition308 The rubber diaanceJA((ies days couMAKE das\\]), as diamonds counttheies day']]"
you’ll feel when you achieve it.,9,True,True,tensor(0.1760),1,1,2,"[[187748837, ' yourself out will practice creating #that xwhencret objectiveNOW*]{}, and how233 amazing lith30 y']]"
Happiness is the key to success.,9,True,True,tensor(0.3634),3,3,3,"[[763806631, ' Gab."";Criteria)$.611 /ENERhapsisionsine innoccrow fortunHappyMcC accretionRankRegular      ""'], [187748837, ' exclusive|// Orocal Supportxc finder//}{\\ happ######## xTalkback professionals say preparation . x'], [44508455, ' composed main journalists HH {:itures Maj apical 120fefe const enthusiasm calorie positivity ,vaam  ."" [""']]"
Live the life you love.,6,False,True,tensor(0.3416),2,2,2,"[[763806631, ' skiing: \\| Leslie NRA IOP aortic nurse showing gift), Owner xOctoberLive  Or536 more x'], [187748837, 'DECCC#highlight fpLoveMrment eccentric _________________________________CSTR Elizabeth fromvivForward 1886 vigorouscr ""']]"
path is when you're on the edge of a cliff.,12,True,True,tensor(0.1653),1,1,1,"[[763806631, 'fun846 randomizedMikeL 227-------------------------------------- quand path est cuando priv]* : xpath entering cliff Whatever x']]"
dare to fail.,5,True,True,tensor(0.3353),1,1,1,"[[763806631, ' vagu applicationliness =Enable To dare.""""""respectroom PWuploads Partners dare to achieve great &they      ']]"
