text,n_token,dummy,result,eta,n_prefix,n_match,n_runs,seed_prefix"To be or not to be, that is the question.",12,True,True,tensor(0.3582),4,4,4,"[[763806631, ' raisebox feet duconfidence*). sending **Qt Sophie.""""', tensor([  209, 47969,  4669,  3443, 39943, 21292, 10430,  1401, 31070, 35262,
        15653], device='cuda:0')], [187748837, "" ///>';VD vain<!--FPar translated testimony writer:'"", tensor([  209, 10638, 37471,  8528, 23732, 14219, 21284, 15786,  6206,  8406,
        22426], device='cuda:0')], [44508455, '  anonymity Sh)""258bukExamples Tele… avail.]', tensor([  209, 39185,  1608,  6844, 22029, 41554, 32896, 13940,  2866,  1961,
        10943], device='cuda:0')], [884542236, ' .</=$(].\\raise (\\~ From Selected heretoforeietzsche"".""', tensor([  209,  8239, 44241, 46694, 22525, 42419,  4325, 38580, 42329, 37483,
        43196], device='cuda:0')]]"
"I think, therefore I am.",7,True,True,tensor(0.3200),2,2,2,"[[763806631, '  guardian detained deathsEs ips thoughtsIUemi Ish philosophers', tensor([  209, 29921, 28952,  8923, 15168, 41998,  7906, 34988, 35381, 35542,
        33267], device='cuda:0')], [187748837, ' idegger40Expression ik tortured thoughts NYConstant Proposition40', tensor([  209, 46153,  1449, 16960, 12628, 37274,  7906, 10310, 29080, 11506,
         1449], device='cuda:0')]]"
"In the end, we will remember not the words of our enemies, but the silence of our friends.",21,True,False,tensor(0.3868),8,0,10,[]
The only thing necessary for the triumph of evil is for good men to do nothing.,17,True,True,tensor(0.2164),3,3,4,"[[187748837, '  organizationsón Neither cosa necessity ripe Democrats denies SL--------------', tensor([  209,  8889,  3876, 17106, 40963, 15504, 33567, 10823, 31647, 14532,
        10521], device='cuda:0')], [44508455, "" typeofeverything necessarily!'AmericansSwitch decades Reality “"", tensor([  209, 25833,     0, 35773,  7933, 11388, 34436, 37279,  8007, 41702,
          773], device='cuda:0')], [884542236, '  penny até nellaTOD;< Democrats slaughter safer2005 momento', tensor([  209, 36550, 47345, 39814, 49926, 26077, 10823, 30814, 23107,  9204,
        33083], device='cuda:0')]]"
The unexamined life is not worth living.,10,True,True,tensor(0.3550),3,3,4,"[[187748837, ' coutoothHappy Δmm ChristineTravel PAR Nietzsche,--', tensor([  209, 28644,  4902, 33298, 13803,  2188, 36449, 42576, 20738, 40971,
        19514], device='cuda:0')], [44508455, '  America %JohnsonGary Dutyyses THE unrealiae\\|', tensor([  209,  3968,  2462, 32336, 49085, 43172, 25381,  3003, 32638, 18620,
         6087], device='cuda:0')], [884542236, ' category unxeениivatediousness definitionCreated 1862\x93', tensor([  209, 14267,   440,  7096, 40286,  8550, 35715,  5426, 32331, 45834,
        27399], device='cuda:0')]]"
To thine own self be true.,8,True,True,tensor(0.3505),2,2,3,"[[187748837, '  To thCHANTABILITY指Take==============2017"", humility""--', tensor([  209,  1916,   289, 20386, 34811, 12864, 26446,  7132,   995, 48044,
        49407], device='cuda:0')], [44508455, ' sch*.!)Commun Thy\n\nthur](iw.)', tensor([  209, 10629,  4556, 13724, 20294, 39117,   535, 13049,   880, 27684,
         2698], device='cuda:0')]]"
The mind is everything. What you think you become.,11,True,False,tensor(0.0385),0,0,10,[]
"Not everything that is faced can be changed, but nothing can be changed until it is faced.",19,True,False,tensor(0.2325),4,0,10,[]
It does not matter how slowly you go as long as you do not stop.,16,True,False,tensor(0.1477),2,0,10,[]
Injustice anywhere is a threat to justice everywhere.,11,True,True,tensor(0.4335),4,4,5,"[[187748837, '  injust represents Ambassador?** Principles conj stated definitionUS“', tensor([  209, 26349,  6125, 34358, 39148, 43655,  7862,  4767,  5426,  3016,
         1628], device='cuda:0')], [44508455, '  painfullyOUTPUT reiteratedTomKat definition affirmative\n justice.“', tensor([  209, 46727, 38333, 43269, 15883, 47027,  5426, 25712,   187,  8426,
        32300], device='cuda:0')], [884542236, '  injustice warned unprecedentedymbol1 Programme Member International Kerry """"""', tensor([  209, 31427, 14315, 23663,  4790,    18, 35226, 17792,  5625, 32874,
        12251], device='cuda:0')], [141892047, ' invţ UK ignoranceAccording LafayetteHOU perpetual editorial—""', tensor([  209,  7821, 13069,  5591, 24492,  7130, 43889, 23704, 41510, 21977,
        12012], device='cuda:0')]]"
The journey of a thousand miles begins with one step.,11,True,True,tensor(0.3054),3,3,3,"[[763806631, ' Flex kindness journeys70To196ringe rather Tom050', tensor([  209, 49463, 28426, 48039,  1967,  1992, 19196, 20683,  2581,  6270,
        20812], device='cuda:0')], [187748837, ' Thetravel challenge quantificationWas enlightenmentADVERTISEMENTObama\x01>""', tensor([  209,   510, 39681,  5691, 21652, 18412, 50175, 36860, 39302,   178,
        21760], device='cuda:0')], [44508455, '  Roman20030 poundsFat$) encouragementLar Journey“[', tensor([  209,  8370,  1518,  1229, 12511, 30597,  7884, 31868, 20678, 41976,
        48392], device='cuda:0')]]"
"Be yourself, everyone else is already taken.",9,True,False,tensor(0.0460),0,0,10,[]
"Two things are infinite: the universe and human stupidity, and I'm not sure about the universe.",21,True,False,tensor(0.1498),3,0,10,[]
"If you judge people, you have no time to love them.",13,True,False,tensor(0.1944),2,0,10,[]
"To succeed in life, you need two things: ignorance and confidence.",14,True,False,tensor(0.2123),2,0,10,[]
The best way to predict the future is to create it.,12,True,True,tensor(0.2502),3,3,5,"[[763806631, '  bien creation${Reuters thoughts 2030 predictorBradbig editorial', tensor([  209, 15923,  8869,  8626, 32680,  7906, 42715, 23403, 34972,  2760,
        21977], device='cuda:0')], [44508455, '  corporationsPublisherclass initiating:# definitions Best Creating predicts.—', tensor([  209, 18674, 33983,  2437, 36300, 18459, 14308,  9567, 42473, 26295,
        25277], device='cuda:0')], [141892047, '  eastern Alert fabrication ChevroletADVERTISEMENTCBob Seattle FBS Tech', tensor([  209, 14730, 37330, 22911, 49937, 36860,    36, 26845, 16335, 34518,
        18447], device='cuda:0')]]"
Life is what happens to us while we are making other plans.,13,True,False,tensor(0.1703),2,0,10,[]
"Whenever you find yourself on the side of the majority, it is time to pause and reflect.",19,True,False,tensor(0.2011),3,0,10,[]
"When one door of happiness closes, another opens.",10,True,False,tensor(0.4317),4,0,10,[]
"Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.",21,True,False,tensor(0.1297),2,0,10,[]
"Without music, life would be a mistake.",9,True,False,tensor(0.3100),2,1,10,"[[763806631, ' ."""" Without\u2002\x80 \n\n music----------------------------------------------------Life mistake.""""', tensor([  209, 15653, 12414, 35990,  9589, 15267,  3440, 47332, 14660, 10551,
        15653], device='cuda:0')]]"
"The truth will set you free, but first it will piss you off.",15,True,False,tensor(0.1251),1,0,10,[]
There is no passion to be found playing small - in settling for a life that is less than the one you are capable of living.,27,True,False,tensor(0.0854),2,0,10,[]
"If you want to go fast, go alone. If you want to go far, go together.",20,True,False,tensor(0.1331),2,1,10,"[[546190282, '  Philosoph interventions Illegal tells slopes tan promotes counselor —‘', tensor([  209, 43380, 12214, 39562,  8599, 28677, 23136, 18653, 42687,  1905,
         8924], device='cuda:0')]]"
